episode,time_alive,reward,loss,time_smooth,reward_smooth,loss_smooth
1,6.424981117248535,-1.2100003,0.0,6.424981117248535,-1.2100002765655518,0.0
2,5.712733268737793,8.23,0.0,6.068857192993164,3.509999632835388,0.0
3,4.227999925613403,-3.98,0.0,5.455238103866577,1.0133330821990967,0.0
4,8.941216230392456,8.129999,0.0,6.326732635498047,2.792499601840973,0.0
5,2.6307406425476074,-4.5099998,0.0,5.587534236907959,1.3319997310638427,0.0
6,2.698091983795166,-4.72,0.0,5.105960528055827,0.32333314418792725,0.0
7,2.8636462688446045,-4.72,0.0,4.78562991959708,-0.3971429892948696,0.0
8,4.113115549087524,-4.2000003,0.0,4.701565623283386,-0.8725001513957977,0.0
9,4.045308351516724,-4.06,0.0,4.628648148642646,-1.2266667948828802,0.0
10,2.9309232234954834,-4.65,0.0,4.45887565612793,-1.5690001249313354,0.0
11,2.4971418380737305,-4.29,0.0,4.280536218123003,-1.8163637464696711,0.0
12,2.731264352798462,-4.5,0.0,4.151430229345958,-2.040000100930532,0.0
13,2.915400266647339,-4.65,0.0,4.056351001446064,-2.240769331271832,0.0
14,3.9283359050750732,-4.25,0.0,4.047207065990993,-2.384285807609558,0.0
15,2.697727680206299,-4.67,0.0,3.9572417736053467,-2.536666758855184,0.0
16,4.362285375595093,-4.2,0.0,3.982556998729706,-2.640625074505806,0.0
17,2.5810372829437256,-4.5299997,0.0,3.900114662507001,-2.7517647602978874,0.0
18,2.9811553955078125,-4.6,0.0,3.849061369895935,-2.854444490538703,0.0
19,2.781517744064331,-4.6,0.0,3.792874863273219,-2.9463158281225907,0.0
20,3.9943079948425293,-4.01,0.0,3.8029465198516847,-2.999500048160553,0.0
21,8.825581073760986,-2.920001,0.0,4.0421195938473655,-2.9957143806275868,0.0
22,4.264762878417969,-4.2200003,0.0,4.052239743146029,-3.0513637391003696,0.0
23,4.243464469909668,-3.8600001,0.0,4.06055386170097,-3.0865218432053276,0.0
24,2.6642637252807617,-4.67,0.0,4.002375106016795,-3.152500102917353,0.0
25,2.93045711517334,-4.62,0.0,3.9594983863830566,-3.2112000942230225,0.0
26,4.097182512283325,-4.13,0.0,3.964793929686913,-3.2465385565390954,0.0
27,2.7480618953704834,-4.45,0.0,3.919729780267786,-3.291111195528949,0.0
28,6.159885406494141,-2.940001,0.0,3.999735338347299,-3.2785715460777283,0.0
29,2.6802866458892822,-4.58,0.0,3.9542371075728844,-3.3234483866856017,0.0
30,5.812238693237305,-3.7500005,0.0,4.016170493761698,-3.3376667896906533,0.0
31,2.6649842262268066,-4.5299997,0.0,3.8908372640609743,-3.448333438237508,0.0
32,5.942337989807129,-4.11,0.0,3.8984907547632854,-3.8596667607625323,0.0
33,5.961865186691284,-3.8400002,0.0,3.9562862634658815,-3.855000098546346,0.0
34,2.796645164489746,-4.5,0.0,3.751467227935791,-4.276000070571899,0.0
35,2.7655797004699707,-4.6,0.0,3.75596186319987,-4.279000075658162,0.0
36,2.8467273712158203,-4.6,0.0,3.7609163761138915,-4.27500007947286,0.0
37,5.677125930786133,-4.13,0.0,3.8546990315119425,-4.255333423614502,0.0
38,2.66485333442688,-4.67,0.0,3.806423624356588,-4.271000083287557,0.0
39,5.9775550365448,-3.8900003,0.0,3.870831847190857,-4.265333429972331,0.0
40,2.847609281539917,-4.7,0.0,3.868054715792338,-4.267000087102255,0.0
41,2.4812371730804443,-4.77,0.0,3.8675245602925616,-4.283000087738037,0.0
42,5.909900426864624,-3.8700004,0.0,3.9734790960947675,-4.262000099817912,0.0
43,3.9800493717193604,-4.08,0.0,4.008967399597168,-4.243000094095866,0.0
44,2.6478495597839355,-4.58,0.0,3.9662845214207967,-4.254000091552735,0.0
45,2.7307345867156982,-4.41,0.0,3.9673847516377765,-4.245333417256673,0.0
46,2.7307138442993164,-4.5,0.0,3.9129990339279175,-4.255333423614502,0.0
47,2.6803367137908936,-4.67,0.0,3.9163090149561564,-4.26000010172526,0.0
48,2.697110891342163,-4.62,0.0,3.9068408648173016,-4.2606667677561445,0.0
49,5.778719186782837,-3.7000003,0.0,4.006747579574585,-4.230666780471802,0.0
50,2.5492148399353027,-4.72,0.0,3.958577807744344,-4.2543334325154625,0.0
51,4.276928663253784,-4.0,0.0,3.8069560607274373,-4.290333398183187,0.0
52,2.8139617443084717,-4.5,0.0,3.7585960229237876,-4.29966672261556,0.0
53,9.025606632232666,-3.0100012,0.0,3.9180007616678876,-4.271333424250285,0.0
54,2.531977415084839,-4.63,0.0,3.91359121799469,-4.270000092188517,0.0
55,2.9962782859802246,-4.6,0.0,3.9157852570215863,-4.269333426157633,0.0
56,4.02911901473999,-4.0299997,0.0,3.913516473770142,-4.266000080108642,0.0
57,4.145830154418945,-4.05,0.0,3.960108749071757,-4.252666759490967,0.0
58,4.346545696258545,-3.9500003,0.0,3.8996640920639036,-4.286333401997884,0.0
59,5.694384574890137,-3.63,0.0,4.000134023030599,-4.2546667416890465,0.0
60,2.897693157196045,-4.5,0.0,3.902982505162557,-4.279666725794474,0.0
61,2.5970680713653564,-4.63,0.0,3.900718633333842,-4.283000071843465,0.0
62,4.163286209106445,-4.17,0.0,3.841416907310486,-4.285000069936117,0.0
63,4.379933834075928,-4.46,0.0,3.7886858622233075,-4.305666732788086,0.0
64,4.129014492034912,-4.08,0.0,3.8330981731414795,-4.2916667302449545,0.0
65,5.943388223648071,-3.7900004,0.0,3.939025123914083,-4.264666748046875,0.0
66,2.698132038116455,-4.65,0.0,3.934071946144104,-4.26633342107137,0.0
67,2.7471089363098145,-4.63,0.0,3.8364047129948933,-4.283000087738037,0.0
68,4.1640801429748535,-4.2799997,0.0,3.8863789399464923,-4.270000076293945,0.0
69,6.242694139480591,-3.7900002,0.0,3.8952169100443523,-4.2666667381922405,0.0
70,4.079283952713013,-4.25,0.0,3.9362727324167888,-4.251666744550069,0.0
71,2.8807742595672607,-4.38,0.0,3.949590635299683,-4.238666749000549,0.0
72,4.179534673690796,-3.93,0.0,3.891911776860555,-4.240666739145914,0.0
73,6.293378591537476,-3.91,0.0,3.969022750854492,-4.235000077883402,0.0
74,2.5477240085601807,-4.7,0.0,3.965685232480367,-4.239000074068705,0.0
75,2.8474912643432617,-4.72,0.0,3.969577121734619,-4.24933340549469,0.0
76,4.163883686065674,-4.13,0.0,4.017349449793498,-4.237000075976054,0.0
77,2.6805121898651123,-4.48,0.0,4.017355298995971,-4.230666740735372,0.0
78,2.796424627304077,-4.39,0.0,4.020665756861368,-4.223000073432923,0.0
79,4.129877805709839,-4.2,0.0,3.9657043774922687,-4.2396667242050174,0.0
80,4.496021270751953,-4.3,0.0,4.030597925186157,-4.225666737556457,0.0
81,4.313144207000732,-4.42,0.0,4.031805109977722,-4.239666740099589,0.0
