frame,y_norm,action,green_area,edge_penalty,death,reward
117,0.305,1,151.0,False,False,0.08
118,0.21833333333333332,1,184.0,False,False,0.08
119,0.15833333333333333,1,149.5,False,False,0.08
120,0.14666666666666667,0,156.0,False,False,0.065
121,0.185,0,162.0,False,False,0.08
122,0.2783333333333333,0,151.0,False,False,0.08
123,0.31166666666666665,0,160.5,False,False,0.08
124,0.3933333333333333,0,156.0,False,False,0.08
125,0.485,1,154.0,False,False,0.065
126,0.5066666666666667,1,161.0,False,False,0.08
127,0.5,1,164.0,False,False,0.08
128,0.495,0,160.5,False,False,0.065
129,0.515,0,161.5,False,False,0.08
130,0.5516666666666666,0,158.0,False,False,0.08
131,0.5883333333333334,1,159.0,False,False,0.065
132,0.575,1,156.5,False,False,0.08
133,0.5366666666666666,1,157.0,False,False,0.08
134,0.495,0,162.0,False,False,0.065
135,0.49166666666666664,0,157.5,False,False,0.08
136,0.5083333333333333,0,155.5,False,False,0.08
137,0.54,0,159.5,False,False,0.08
138,0.5683333333333334,1,156.5,False,False,0.065
139,0.55,1,156.5,False,False,0.08
140,0.5083333333333333,1,155.5,False,False,0.08
141,0.46166666666666667,0,163.0,False,False,0.065
142,0.45666666666666667,0,156.5,False,False,0.08
143,0.47,0,159.5,False,False,0.08
144,0.4666666666666667,1,159.5,False,False,0.065
145,0.43333333333333335,1,159.5,False,False,0.08
146,0.4166666666666667,1,147.5,False,False,0.08
147,0.4166666666666667,1,147.0,False,False,0.08
148,0.4166666666666667,1,147.5,False,False,0.08
149,0.3983333333333333,0,157.0,False,False,0.065
150,0.435,0,155.5,False,False,0.08
151,0.49166666666666664,0,159.0,False,False,0.08
152,0.5533333333333333,1,151.0,False,False,0.065
153,0.5566666666666666,1,162.5,False,False,0.08
154,0.5333333333333333,1,159.5,False,False,0.08
155,0.48833333333333334,1,156.0,False,False,0.08
156,0.4266666666666667,1,157.0,False,False,0.08
157,0.38,0,158.5,False,False,0.065
158,0.4033333333333333,0,157.0,False,False,0.08
159,0.445,0,161.0,False,False,0.08
160,0.4866666666666667,1,161.0,False,False,0.065
161,0.4766666666666667,1,154.5,False,False,0.08
162,0.44166666666666665,1,153.0,False,False,0.08
163,0.40166666666666667,0,158.0,False,False,0.065
164,0.40166666666666667,0,159.5,False,False,0.08
165,0.42,0,156.0,False,False,0.08
166,0.455,0,159.5,False,False,0.08
167,0.5066666666666667,0,164.5,False,False,0.08
168,0.5766666666666667,0,155.0,False,False,0.08
169,0.6566666666666666,0,150.5,False,False,0.08
170,0.7383333333333333,0,148.0,False,False,0.08
171,0.8166666666666667,0,132.5,False,False,0.08
172,0.5,1,0.0,False,False,0.0
173,0.5,1,0.0,False,False,0.0
174,0.8166666666666667,1,0.0,False,True,-5.0
0,0.44333333333333336,1,1677.0,False,False,0.065
1,0.44333333333333336,1,1677.0,False,False,0.08
2,0.44333333333333336,1,1677.0,False,False,0.08
3,0.44333333333333336,0,1677.0,False,False,0.065
4,0.3516666666666667,0,1836.0,False,False,0.08
5,0.2966666666666667,0,1754.0,False,False,0.08
6,0.32,1,1779.5,False,False,0.065
7,0.3383333333333333,1,155.0,False,False,0.08
8,0.5,1,0.0,False,False,0.08
9,0.3933333333333333,0,154.0,False,False,0.065
10,0.44,0,160.5,False,False,0.08
11,0.49666666666666665,0,160.0,False,False,0.08
12,0.5616666666666666,0,151.5,False,False,0.08
13,0.635,1,160.5,False,False,0.065
14,0.645,1,160.5,False,False,0.08
15,0.63,1,155.0,False,False,0.08
16,0.59,1,158.0,False,False,0.08
17,0.53,1,157.5,False,False,0.08
18,0.44666666666666666,1,148.0,False,False,0.08
19,0.34833333333333333,1,147.0,False,False,0.08
20,0.25166666666666665,1,152.5,False,False,0.08
21,0.18166666666666667,1,149.5,False,False,0.08
22,0.12333333333333334,1,156.0,False,False,0.08
23,0.12333333333333334,1,159.0,False,False,0.08
24,0.12333333333333334,1,158.0,False,False,0.08
25,0.12333333333333334,1,158.5,False,False,0.08
26,0.125,1,164.5,False,False,0.08
27,0.125,1,167.0,False,False,0.08
28,0.125,1,165.0,False,False,0.08
29,0.125,1,161.0,False,False,0.08
30,0.125,1,157.5,False,False,0.08
31,0.125,1,157.5,False,False,0.08
32,0.125,1,157.5,False,False,0.08
33,0.125,1,157.5,False,False,0.08
34,0.125,1,157.5,False,False,0.08
35,0.125,1,157.5,False,False,0.08
36,0.125,1,157.5,False,False,0.08
37,0.125,1,157.5,False,False,0.08
38,0.125,1,157.5,False,False,0.08
39,0.125,1,157.5,False,False,0.08
40,0.14833333333333334,0,160.5,False,False,0.065
41,0.185,0,158.0,False,False,0.08
42,0.24,0,157.0,False,False,0.08
43,0.31166666666666665,0,156.0,False,False,0.08
44,0.3933333333333333,0,152.0,False,False,0.08
45,0.52,1,148.5,False,False,0.065
46,0.5066666666666667,1,160.0,False,False,0.08
47,0.5,1,160.5,False,False,0.08
48,0.4683333333333333,1,154.0,False,False,0.08
49,0.41833333333333333,1,161.0,False,False,0.08
50,0.345,1,153.5,False,False,0.08
51,0.30666666666666664,1,151.0,False,False,0.08
52,0.15333333333333332,1,152.5,False,False,0.08
53,0.13833333333333334,0,159.5,False,False,0.065
54,0.17166666666666666,0,154.5,False,False,0.08
55,0.22166666666666668,0,161.5,False,False,0.08
56,0.28833333333333333,0,157.5,False,False,0.08
57,0.40166666666666667,0,150.0,False,False,0.08
58,0.45,0,183.5,False,False,0.08
59,0.56,0,148.5,False,False,0.08
60,0.655,1,148.5,False,False,0.065
61,0.6433333333333333,1,153.0,False,False,0.08
62,0.6366666666666667,1,163.0,False,False,0.08
63,0.605,1,158.5,False,False,0.08
64,0.5716666666666667,0,155.5,False,False,0.065
65,0.5716666666666667,0,157.0,False,False,0.08
66,0.5866666666666667,0,161.0,False,False,0.08
67,0.62,0,155.5,False,False,0.08
68,0.665,1,157.0,False,False,0.065
69,0.6566666666666666,1,155.5,False,False,0.08
70,0.6216666666666667,1,157.0,False,False,0.08
71,0.5716666666666667,0,154.5,False,False,0.065
72,0.5666666666666667,0,161.0,False,False,0.08
73,0.5783333333333334,0,160.5,False,False,0.08
74,0.6083333333333333,0,158.5,False,False,0.08
75,0.645,1,160.0,False,False,0.065
76,0.6316666666666667,1,159.5,False,False,0.08
77,0.595,1,159.0,False,False,0.08
78,0.54,1,160.5,False,False,0.08
79,0.44,1,153.5,False,False,0.08
80,0.36333333333333334,1,164.0,False,False,0.08
81,0.2633333333333333,1,151.5,False,False,0.08
82,0.165,1,151.5,False,False,0.08
83,0.125,1,155.5,False,False,0.08
84,0.12333333333333334,1,158.5,False,False,0.08
85,0.14333333333333334,0,155.5,False,False,0.065
86,0.17666666666666667,0,160.0,False,False,0.08
87,0.22833333333333333,0,162.0,False,False,0.08
88,0.33166666666666667,0,146.5,False,False,0.08
89,0.41,0,147.0,False,False,0.08
90,0.47833333333333333,1,151.0,False,False,0.065
91,0.505,1,156.0,False,False,0.08
92,0.5033333333333333,1,163.0,False,False,0.08
93,0.4766666666666667,1,156.0,False,False,0.08
