episode,time_alive,reward,loss,time_smooth,reward_smooth,loss_smooth
1,14.773285627365112,-2.7749999,0.0,14.773285627365112,-2.7749998569488525,0.0
2,6.410017728805542,-2.0950005,0.0,10.591651678085327,-2.43500018119812,0.0
3,6.394624948501587,-2.9900002,0.0,9.192642768224081,-2.620000203450521,0.0
4,14.985497951507568,4.739996,0.0,10.640856564044952,-0.780001163482666,0.0
5,6.394162178039551,-2.665,0.0,9.791517686843871,-1.1570009231567382,0.0
6,8.90787672996521,-0.45500088,0.0,9.644244194030762,-1.0400009155273438,0.0
7,6.427617073059082,-3.3200002,0.0,9.18472603389195,-1.3657150949750627,0.0
8,6.3943421840667725,-3.0600004,0.0,8.835928052663803,-1.5775007605552673,0.0
9,6.377196788787842,-2.335,0.0,8.562735690010918,-1.6616673469543457,0.0
10,6.40974760055542,-2.99,0.0,8.347436881065368,-1.7945006132125854,0.0
11,6.394114017486572,-2.86,0.0,8.169862075285478,-1.89136418429288,0.0
12,6.460479736328125,-2.3500001,0.0,8.027413547039032,-1.9295838475227356,0.0
13,6.362325668334961,-2.9500005,0.0,7.899329864061796,-2.0080774380610538,0.0
14,6.392709732055664,-2.93,0.0,7.791714140347072,-2.073929054396493,0.0
15,4.113308668136597,-2.2300003,0.0,7.546487108866374,-2.084333801269531,0.0
16,2.3647348880767822,-5.0,0.0,7.222627595067024,-2.2665629386901855,0.0
17,6.343510866165161,-2.9750001,0.0,7.170914846308091,-2.3082357154173008,0.0
18,7.97571325302124,-1.6550009,0.0,7.215625868903266,-2.2719448937310114,0.0
19,8.875396013259888,-0.33500051,0.0,7.3029821922904565,-2.1700004527443335,0.0
20,9.007905006408691,-0.4900012,0.0,7.388228332996368,-2.0860004901885985,0.0
21,11.589625835418701,1.644999,0.0,7.588294880730765,-1.9083338465009416,0.0
22,6.410085678100586,-2.4400003,0.0,7.534739916974848,-1.932500503279946,0.0
23,4.047160863876343,-2.33,0.0,7.383106045101,-1.9497830867767334,0.0
24,2.3637967109680176,-5.0,0.0,7.173968156178792,-2.076875458161036,0.0
25,6.327794313430786,-3.2900004,0.0,7.1401212024688725,-2.1254004573822023,0.0
26,6.410974979400635,-2.64,0.0,7.112077116966248,-2.1451927515176625,0.0
27,6.460500955581665,-3.0300002,0.0,7.087944666544597,-2.1779633981210216,0.0
28,6.343023061752319,-3.0750005,0.0,7.0613403235163,-2.2100004383495877,0.0
29,6.47723388671875,-2.7150002,0.0,7.04119872224742,-2.2274142215991843,0.0
30,14.386375665664673,4.2749968,0.0,7.286037953694661,-2.0106671889623007,0.0
31,5.578472137451172,-1.5600011,0.0,6.9795441706975305,-1.9701672315597534,0.0
32,2.364659547805786,-5.0,0.0,6.844698897997538,-2.0670005480448403,0.0
33,8.82521367073059,-0.18500137,0.0,6.925718522071838,-1.9735005855560304,0.0
34,8.62525749206543,-0.4650011,0.0,6.7137105067571,-2.147000487645467,0.0
35,6.360423564910889,-2.6150005,0.0,6.712585886319478,-2.1453338384628298,0.0
36,8.025798559188843,-1.4200008,0.0,6.683183280626933,-2.1775005022684732,0.0
37,12.255052328109741,3.5299969,0.0,6.877431122461955,-1.949167267481486,0.0
38,2.3640735149383545,-5.0,0.0,6.743088833491007,-2.013833920160929,0.0
39,8.825423240661621,-0.5550003,0.0,6.8246963818868,-1.9545005957285564,0.0
40,8.27601408958435,-0.30000162,0.0,6.886905264854431,-1.864833982785543,0.0
41,6.343137741088867,-2.605,0.0,6.8852060556411745,-1.8563339869181315,0.0
42,8.142668724060059,-1.460001,0.0,6.9412790218989056,-1.826667348543803,0.0
43,3.829989433288574,-3.1600006,0.0,6.856867814064026,-1.8336673498153686,0.0
44,3.3637163639068604,-5.0,0.0,6.755901368459066,-1.9026673475901286,0.0
45,4.06233811378479,-3.0750003,0.0,6.754202349980672,-1.9308340152104695,0.0
46,2.3648934364318848,-5.0,0.0,6.754207634925843,-1.9308340152104695,0.0
47,5.561106204986572,-1.1150012,0.0,6.728127479553223,-1.8688340504964194,0.0
48,2.364893674850464,-5.0,0.0,6.541100160280863,-1.9803340196609498,0.0
49,7.642834663391113,-1.4700007,0.0,6.500014781951904,-2.0181673606236776,0.0
50,14.702385902404785,3.1450014,0.0,6.689830811818441,-1.8970006068547567,0.0
51,8.07615065574646,-1.1450014,0.0,6.5727149724960325,-1.9900006214777628,0.0
52,6.394149303436279,-2.7549999,0.0,6.572183760007222,-2.0005006074905394,0.0
53,8.62471318244934,-1.035002,0.0,6.724768837292989,-1.957334009806315,0.0
54,5.2954487800598145,-1.595001,0.0,6.822490572929382,-1.8438340425491333,0.0
55,2.3641507625579834,-5.0,0.0,6.690369121233622,-1.900834027926127,0.0
56,6.393984079360962,-2.4800003,0.0,6.689802757898966,-1.8955006996790569,0.0
57,14.619924783706665,2.985004,0.0,6.9617835521698,-1.6950005610783896,0.0
58,6.393959999084473,-3.0100005,0.0,6.963481450080872,-1.6928338925043742,0.0
