episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/loss,train/learning_rate,rollout/exploration_rate
1,16,3.5195043087005615,16,2.3799999952316284,2.3799999952316284,16,,,0.1499025
2,28,2.131284236907959,12,-4.709999997168779,2.3799999952316284,16,,,0.1498245
3,30,1.1489360332489014,2,-5.0,2.3799999952316284,16,,,0.14981149999999996
4,41,1.900672435760498,11,-4.709999997168779,2.3799999952316284,16,,,0.14974
5,43,1.1300344467163086,2,-5.0,2.3799999952316284,16,,,0.149727
6,48,1.1148159503936768,5,-4.929999999701977,2.3799999952316284,16,,,0.1496945
7,64,2.297544002532959,16,-4.509999994188547,2.3799999952316284,16,,,0.14959049999999996
8,94,4.196395397186279,30,2.3700000308454037,2.3799999952316284,30,,,0.14939550000000001
9,110,2.6138877868652344,16,-4.589999996125698,2.3799999952316284,30,,,0.14929149999999997
10,124,2.165347099304199,14,-4.649999996647239,2.3799999952316284,30,,,0.1492005
11,147,3.397099018096924,23,-4.279999991878867,2.3799999952316284,30,,,0.14905100000000002
12,157,2.08129620552063,10,-4.849999999627471,2.3799999952316284,30,,,0.14898599999999998
13,168,2.1144509315490723,11,-4.799999998882413,2.3799999952316284,30,,,0.14891449999999998
14,170,1.1318955421447754,2,-5.0,2.3799999952316284,30,,,0.14890150000000002
15,193,3.579712152481079,23,-4.439999995753169,2.3799999952316284,30,,,0.14875200000000002
16,202,2.0150842666625977,9,-4.849999999627471,2.3799999952316284,30,,,0.14869349999999998
17,214,2.5971896648406982,12,-4.739999998360872,2.3799999952316284,30,,,0.14861549999999998
18,226,1.9826347827911377,12,-4.659999996423721,2.3799999952316284,30,,,0.1485375
19,239,2.180360794067383,13,-4.649999996647239,2.3799999952316284,30,,,0.14845300000000003
20,252,2.4478955268859863,13,-4.659999996423721,2.3799999952316284,30,,,0.1483685
21,270,2.897003412246704,18,-4.609999997541308,2.3799999952316284,30,,,0.14825149999999998
22,272,1.1322944164276123,2,-5.0,2.3799999952316284,30,,,0.1482385
23,305,5.32831072807312,33,-2.0899999886751175,2.3799999952316284,33,,,0.148024
24,336,4.296169281005859,31,-4.039999989792705,2.3799999952316284,33,,,0.1478225
25,348,2.214448928833008,12,-4.709999997168779,2.3799999952316284,33,,,0.1477445
26,368,2.9965438842773438,20,-4.429999994114041,2.3799999952316284,33,,,0.1476145
27,392,3.780225992202759,24,-4.30999999307096,2.3799999952316284,33,,,0.14745849999999996
28,406,2.1312525272369385,14,-4.51999999396503,2.3799999952316284,33,,,0.1473675
29,417,2.0664868354797363,11,-4.78999999910593,2.3799999952316284,33,,,0.147296
30,421,1.1143946647644043,4,-4.949999999254942,2.3799999952316284,33,,,0.14727
31,425,1.231572151184082,4,-4.980000000447035,2.3799999952316284,33,,,0.147244
32,452,4.262982606887817,27,-4.339999994263053,2.3799999952316284,33,,,0.14706850000000002
33,467,2.5646889209747314,15,-4.639999996870756,2.3799999952316284,33,,,0.14697100000000002
34,469,1.1317663192749023,2,-5.0,2.3799999952316284,33,,,0.14695799999999998
35,473,1.3155601024627686,4,-4.980000000447035,2.3799999952316284,33,,,0.14693199999999998
36,486,1.9645819664001465,13,-4.609999995678663,2.3799999952316284,33,,,0.14684750000000002
37,501,2.2485127449035645,15,-4.559999994933605,2.3799999952316284,33,,,0.14675000000000002
38,521,3.7956302165985107,20,-4.539999997243285,2.3799999952316284,33,,,0.14662000000000003
39,536,2.398787021636963,15,-4.589999996125698,2.3799999952316284,33,,,0.14652250000000003
40,552,2.14742374420166,16,-4.459999993443489,2.3799999952316284,33,,,0.14641849999999998
41,554,1.1324515342712402,2,-5.0,2.3799999952316284,33,,,0.1464055
42,558,1.414527416229248,4,-4.939999999478459,2.3799999952316284,33,,,0.1463795
43,577,2.9971704483032227,19,-4.389999993145466,2.3799999952316284,33,,,0.146256
44,589,1.9819929599761963,12,-4.699999997392297,2.3799999952316284,33,,,0.146178
45,600,2.214667797088623,11,-4.799999998882413,2.3799999952316284,33,,,0.1461065
46,613,2.281020402908325,13,-4.699999997392297,2.3799999952316284,33,,,0.14602199999999996
47,627,1.964592456817627,14,-4.619999995455146,2.3799999952316284,33,,,0.145931
48,645,2.5977818965911865,18,-4.489999994635582,2.3799999952316284,33,,,0.145814
49,658,2.1979477405548096,13,-4.649999996647239,2.3799999952316284,33,,,0.1457295
50,671,2.580641031265259,13,-4.739999998360872,2.3799999952316284,33,,,0.14564499999999997
51,683,2.198089838027954,12,-4.78999999910593,2.3799999952316284,33,,,0.145567
52,701,2.597701072692871,18,-4.409999992698431,2.3799999952316284,33,,,0.14544999999999997
53,714,2.1977555751800537,13,-4.699999997392297,2.3799999952316284,33,,,0.1453655
54,726,2.1154422760009766,12,-4.749999998137355,2.3799999952316284,33,,,0.1452875
55,741,2.430448055267334,15,-4.509999994188547,2.3799999952316284,33,,,0.14519
56,753,2.514167547225952,12,-4.78999999910593,2.3799999952316284,33,,,0.14511200000000002
57,764,2.048828601837158,11,-4.830000000074506,2.3799999952316284,33,,,0.14504050000000002
58,779,2.2315573692321777,15,-4.599999995902181,2.3799999952316284,33,,,0.144943
59,782,1.1312041282653809,3,-4.949999999254942,2.3799999952316284,33,,,0.14492349999999998
60,807,3.680145025253296,25,-4.209999991580844,2.3799999952316284,33,,,0.14476099999999997
61,820,2.4314839839935303,13,-4.699999997392297,2.3799999952316284,33,,,0.14467649999999999
62,834,1.9488632678985596,14,-4.649999996647239,2.3799999952316284,33,,,0.14458549999999998
63,845,2.1133270263671875,11,-4.799999998882413,2.3799999952316284,33,,,0.14451400000000003
64,860,2.413790464401245,15,-4.549999995157123,2.3799999952316284,33,,,0.1444165
65,880,3.4141571521759033,20,-4.509999996051192,2.3799999952316284,33,,,0.14428649999999998
66,893,2.2638373374938965,13,-4.689999997615814,2.3799999952316284,33,,,0.144202
67,902,1.9821319580078125,9,-4.8900000005960464,2.3799999952316284,33,,,0.1441435
68,912,2.2151544094085693,10,-4.849999999627471,2.3799999952316284,33,,,0.1440785
69,923,2.1134848594665527,11,-4.839999999850988,2.3799999952316284,33,,,0.144007
70,936,2.2817258834838867,13,-4.689999997615814,2.3799999952316284,33,,,0.1439225
71,950,2.26511287689209,14,-4.649999996647239,2.3799999952316284,33,,,0.1438315
72,963,2.514763832092285,13,-4.739999998360872,2.3799999952316284,33,,,0.143747
73,979,2.980072021484375,16,-4.6599999982863665,2.3799999952316284,33,,,0.14364299999999997
74,998,2.829808235168457,19,-4.399999992921948,2.3799999952316284,33,,,0.14351949999999997
75,1011,2.231403112411499,13,-4.609999995678663,2.3799999952316284,33,32.98004913330078,1e-05,0.143435
