episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/loss,train/learning_rate,rollout/exploration_rate
1,8,4.061543941497803,8,-1.8199999928474426,-1.8199999928474426,8,,,0.1499545
2,19,2.0481479167938232,11,-3.8000000175088644,-1.8199999928474426,11,,,0.149883
3,30,1.9147307872772217,11,-4.719999996945262,-1.8199999928474426,11,,,0.14981149999999996
4,42,2.115196943283081,12,-4.210000006482005,-1.8199999928474426,12,,,0.1497335
5,53,2.2145369052886963,11,-4.839999999850988,-1.8199999928474426,12,,,0.14966199999999996
6,67,2.030789375305176,14,-3.609999993816018,-1.8199999928474426,14,,,0.149571
7,79,1.8151569366455078,12,-4.719999996945262,-1.8199999928474426,14,,,0.14949300000000001
8,92,1.9476909637451172,13,-4.659999996423721,-1.8199999928474426,14,,,0.1494085
9,103,1.9643223285675049,11,-4.759999997913837,-1.8199999928474426,14,,,0.14933699999999997
10,119,2.0655839443206787,16,-2.9599999599158764,-1.8199999928474426,16,,,0.149233
11,152,4.862327814102173,33,3.900000022724271,3.900000022724271,33,,,0.14901849999999997
12,163,2.214370012283325,11,-4.749999998137355,3.900000022724271,33,,,0.14894699999999997
13,177,2.531153440475464,14,-4.719999998807907,3.900000022724271,33,,,0.14885600000000002
14,195,2.796741247177124,18,-4.5299999956041574,3.900000022724271,33,,,0.14873899999999998
15,207,2.181767225265503,12,-4.78999999910593,3.900000022724271,33,,,0.148661
16,218,1.9817521572113037,11,-4.749999998137355,3.900000022724271,33,,,0.14858949999999999
17,244,4.195393323898315,26,-4.32999999448657,3.900000022724271,33,,,0.14842049999999998
18,262,2.6638855934143066,18,-4.479999994859099,3.900000022724271,33,,,0.14830350000000003
19,276,2.2483091354370117,14,-4.639999996870756,3.900000022724271,33,,,0.1482125
20,285,1.915018081665039,9,-4.8900000005960464,3.900000022724271,33,,,0.14815399999999998
21,299,1.9476277828216553,14,-4.569999994710088,3.900000022724271,33,,,0.148063
22,311,2.1820361614227295,12,-4.749999998137355,3.900000022724271,33,,,0.147985
23,338,3.811936855316162,27,-4.11999998986721,3.900000022724271,33,,,0.1478095
24,368,3.9798882007598877,30,-4.089999990537763,3.900000022724271,33,,,0.1476145
25,389,3.097940444946289,21,-4.369999993592501,3.900000022724271,33,,,0.14747799999999997
26,403,1.965155839920044,14,-4.569999994710088,3.900000022724271,33,,,0.14738700000000002
27,421,2.5965943336486816,18,-4.5299999956041574,3.900000022724271,33,,,0.14727
28,430,1.9157671928405762,9,-4.8900000005960464,3.900000022724271,33,,,0.14721149999999997
29,451,3.180126190185547,21,-4.419999994337559,3.900000022724271,33,,,0.147075
30,469,2.8308069705963135,18,-4.5299999956041574,3.900000022724271,33,,,0.14695799999999998
31,486,2.7637126445770264,17,-4.5299999956041574,3.900000022724271,33,,,0.14684750000000002
32,505,2.897204875946045,19,-4.439999993890524,3.900000022724271,33,,,0.14672400000000002
33,515,1.6649203300476074,10,-4.8099999986588955,3.900000022724271,33,,,0.14665899999999998
34,524,1.914391040802002,9,-4.8900000005960464,3.900000022724271,33,,,0.1466005
35,538,2.2652716636657715,14,-4.649999996647239,3.900000022724271,33,,,0.1465095
36,551,1.7479543685913086,13,-4.57999999448657,3.900000022724271,33,,,0.146425
37,564,2.347947359085083,13,-4.649999996647239,3.900000022724271,33,,,0.14634049999999998
38,583,2.5640523433685303,19,-4.389999993145466,3.900000022724271,33,,,0.14621699999999999
39,596,1.9645490646362305,13,-4.609999995678663,3.900000022724271,33,,,0.1461325
40,610,1.9994139671325684,14,-4.599999995902181,3.900000022724271,33,,,0.1460415
41,630,2.797177791595459,20,-4.339999992400408,3.900000022724271,33,,,0.1459115
42,643,1.9978742599487305,13,-4.659999996423721,3.900000022724271,33,,,0.145827
43,660,2.747112512588501,17,-4.5799999963492155,3.900000022724271,33,,,0.1457165
44,671,2.1473565101623535,11,-4.759999997913837,3.900000022724271,33,,,0.14564499999999997
45,685,2.6313443183898926,14,-4.72999999858439,3.900000022724271,33,,,0.14555400000000002
46,689,1.116396188735962,4,-4.949999999254942,3.900000022724271,33,,,0.14552799999999996
47,701,1.9807798862457275,12,-4.619999995455146,3.900000022724271,33,,,0.14544999999999997
48,710,1.7813317775726318,9,-4.819999998435378,3.900000022724271,33,,,0.1453915
49,729,2.797044038772583,19,-4.569999996572733,3.900000022724271,33,,,0.145268
50,749,2.9470458030700684,20,-4.429999994114041,3.900000022724271,33,,,0.14513800000000002
51,758,1.9148533344268799,9,-4.8900000005960464,3.900000022724271,33,,,0.14507949999999997
52,770,1.965557336807251,12,-4.659999996423721,3.900000022724271,33,,,0.14500149999999998
53,773,1.1319670677185059,3,-4.949999999254942,3.900000022724271,33,,,0.14498199999999997
54,785,1.648848295211792,12,-4.659999996423721,3.900000022724271,33,,,0.14490399999999998
55,806,3.0141265392303467,21,-4.369999993592501,3.900000022724271,33,,,0.1447675
56,816,1.6819710731506348,10,-4.8099999986588955,3.900000022724271,33,,,0.14470249999999998
57,818,1.1310975551605225,2,-5.0,3.900000022724271,33,,,0.14468950000000003
58,830,1.8985402584075928,12,-4.619999995455146,3.900000022724271,33,,,0.14461149999999998
59,848,2.713994026184082,18,-4.55999999679625,3.900000022724271,33,,,0.1444945
60,850,1.1328670978546143,2,-5.0,3.900000022724271,33,,,0.14448149999999998
