episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/loss,train/ewc_penalty,train/learning_rate,rollout/exploration_rate
1,16,2.8407218000002104,16,-4.619999997317791,-4.619999997317791,16,,,,0.14998699999999995
2,28,2.1311734000000797,12,-4.709999997168779,-4.619999997317791,16,,,,0.14997660000000002
3,30,1.1319338000002972,2,-5.0,-4.619999997317791,16,,,,0.14997486666666668
4,43,2.430674899999758,13,-4.689999997615814,-4.619999997317791,16,,,,0.14996359999999997
5,53,2.0657123999999385,10,-4.839999999850988,-4.619999997317791,16,,,,0.14995493333333332
6,68,2.18016710000029,15,-4.509999994188547,-4.509999994188547,16,,,,0.14994193333333336
7,71,1.1317895000001954,3,-4.949999999254942,-4.509999994188547,16,,,,0.14993933333333334
8,86,2.7153221999997186,15,-4.589999996125698,-4.509999994188547,16,,,,0.1499263333333333
9,105,3.495652799999334,19,-4.549999997019768,-4.509999994188547,19,,,,0.14990986666666664
10,136,4.529965200000333,31,-4.089999990537763,-4.089999990537763,31,,,,0.149883
11,157,3.5792969000003723,21,-4.459999995306134,-4.089999990537763,31,,,,0.14986479999999996
12,183,4.460886599999867,26,-4.439999997615814,-4.089999990537763,31,,,,0.14984226666666667
13,196,2.249088500000653,13,-4.689999997615814,-4.089999990537763,31,,,,0.149831
14,209,2.578851099999156,13,-4.72999999858439,-4.089999990537763,31,,,,0.1498197333333333
15,222,2.4327316999997493,13,-4.659999996423721,-4.089999990537763,31,,,,0.14980846666666667
16,242,3.2624839000000065,20,-4.509999996051192,-4.089999990537763,31,,,,0.14979113333333335
17,244,1.1321321999994325,2,-5.0,-4.089999990537763,31,,,,0.1497894
18,252,1.5823209000000134,8,-4.779999997466803,-4.089999990537763,31,,,,0.14978246666666667
19,283,5.194239899999957,31,-4.239999994635582,-4.089999990537763,31,,,,0.14975560000000002
20,299,2.4812737000002016,16,-4.4999999944120646,-4.089999990537763,31,,,,0.14974173333333332
21,329,4.545114499999727,30,-4.1199999917298555,-4.089999990537763,31,,,,0.14971573333333332
22,351,3.5635597000000416,22,-4.359999993816018,-4.089999990537763,31,,,,0.14969666666666664
23,368,2.613581300000078,17,-4.589999996125698,-4.089999990537763,31,,,,0.14968193333333332
24,400,3.945828299999448,32,-4.029999990016222,-4.029999990016222,32,,,,0.1496542
25,417,2.5136937999996007,17,-4.629999997094274,-4.029999990016222,32,,,,0.14963946666666667
26,448,4.496948400000292,31,-4.169999992474914,-4.029999990016222,32,,,,0.14961259999999998
27,464,2.464460400000462,16,-4.549999995157123,-4.029999990016222,32,,,,0.14959873333333334
28,498,5.04530270000032,34,-3.929999988526106,-3.929999988526106,34,,,,0.14956926666666667
29,511,2.097073900000396,13,-4.699999997392297,-3.929999988526106,34,,,,0.149558
30,521,2.048422899999423,10,-4.8900000005960464,-3.929999988526106,34,,,,0.1495493333333333
31,535,2.348416499999985,14,-4.609999995678663,-3.929999988526106,34,,,,0.1495372
32,566,4.426666899999873,31,-4.0699999909847975,-3.929999988526106,34,,,,0.14951033333333336
33,582,2.2315881000004083,16,-4.509999994188547,-3.929999988526106,34,,,,0.14949646666666666
34,593,1.9982655999992858,11,-4.709999997168779,-3.929999988526106,34,,,,0.14948693333333332
35,623,4.211964399999488,30,-4.129999991506338,-3.929999988526106,34,,,,0.14946093333333332
36,656,4.49689220000073,33,-3.979999989271164,-3.929999988526106,34,,,,0.1494323333333333
37,667,2.213150399999904,11,-4.78999999910593,-3.929999988526106,34,,,,0.14942279999999997
38,697,4.280200500000319,30,-4.169999992474914,-3.929999988526106,34,,,,0.14939679999999997
39,710,2.2638206999999966,13,-4.699999997392297,-3.929999988526106,34,,,,0.14938553333333335
40,722,2.196842800000013,12,-4.749999998137355,-3.929999988526106,34,,,,0.14937513333333333
41,737,2.3488218000002234,15,-4.559999994933605,-3.929999988526106,34,,,,0.1493621333333333
42,750,2.0981225000004997,13,-4.699999997392297,-3.929999988526106,34,,,,0.1493508666666667
43,760,2.4633906999997635,10,-4.849999999627471,-3.929999988526106,34,,,,0.1493422
44,793,4.345726000000468,33,-3.8899999875575304,-3.8899999875575304,34,,,,0.1493136
45,807,2.597410000000309,14,-4.599999995902181,-3.8899999875575304,34,,,,0.14930146666666663
46,821,2.4137283999998544,14,-4.639999996870756,-3.8899999875575304,34,,,,0.14928933333333336
47,825,1.1172108000000662,4,-4.949999999254942,-3.8899999875575304,34,,,,0.14928586666666666
48,844,3.2459986000003482,19,-4.549999997019768,-3.8899999875575304,34,,,,0.1492694
49,846,1.131825899999967,2,-5.0,-3.8899999875575304,34,,,,0.14926766666666666
50,852,1.199225899999874,6,-4.889999998733401,-3.8899999875575304,34,,,,0.14926246666666668
51,864,2.31293579999965,12,-4.659999996423721,-3.8899999875575304,34,,,,0.14925206666666666
52,881,2.898640399999749,17,-4.569999996572733,-3.8899999875575304,34,,,,0.14923733333333336
53,883,1.1312360000001718,2,-5.0,-3.8899999875575304,34,,,,0.1492356
54,888,1.447706000000835,5,-4.970000000670552,-3.8899999875575304,34,,,,0.14923126666666664
55,891,1.132538700000623,3,-4.949999999254942,-3.8899999875575304,34,,,,0.14922866666666668
56,895,1.2321633000001384,4,-4.939999999478459,-3.8899999875575304,34,,,,0.1492252
57,905,2.2805539999999382,10,-4.880000000819564,-3.8899999875575304,34,,,,0.14921653333333335
58,928,4.1129454000001715,23,-4.5599999986588955,-3.8899999875575304,34,,,,0.14919659999999998
59,943,2.164492799999607,15,-4.51999999396503,-3.8899999875575304,34,,,,0.14918360000000003
60,945,1.1316795000002458,2,-5.0,-3.8899999875575304,34,,,,0.14918186666666666
61,950,1.3152946999998676,5,-4.889999998733401,-3.8899999875575304,34,,,,0.1491775333333333
62,963,2.597418999999718,13,-4.739999998360872,-3.8899999875575304,34,,,,0.14916626666666669
63,988,4.195906099999775,25,-4.369999995455146,-3.8899999875575304,34,,,,0.1491446
64,1007,2.995777999999518,19,-4.5299999956041574,-3.8899999875575304,34,39.06047821044922,0.0,1e-05,0.14912813333333333
65,1024,2.281836000000112,17,-4.3699999917298555,-3.8899999875575304,34,48.105594635009766,1.6383619794169135e-08,1e-05,0.1491134
66,1069,6.21276940000007,45,-3.4499999824911356,-3.4499999824911356,45,20.211055755615234,4.801746626981185e-07,1e-05,0.1490744
67,1085,2.2786231000000043,16,-4.429999992251396,-3.4499999824911356,45,32.276851654052734,7.350540158768126e-07,1e-05,0.14906053333333336
68,1101,2.0482670999999755,16,-4.419999992474914,-3.4499999824911356,45,38.477989196777344,1.045876615535235e-06,1e-05,0.14904666666666666
69,1114,2.0805238000002646,13,-4.619999995455146,-3.4499999824911356,45,57.84299850463867,1.3076622735752608e-06,1e-05,0.14903539999999996
70,1142,3.6144643999996333,28,-3.9899999871850014,-3.4499999824911356,45,30.33635902404785,1.920676140798605e-06,1e-05,0.14901113333333332
71,1155,2.313422299999729,13,-4.649999996647239,-3.4499999824911356,45,17.910140991210938,2.143271785826073e-06,1e-05,0.14899986666666662
72,1205,6.111457699999846,50,-3.079999975860119,-3.079999975860119,50,61.837833404541016,3.036328507732833e-06,1e-05,0.1489565333333333
73,1219,2.2960069999999178,14,-4.569999994710088,-3.079999975860119,50,23.822893142700195,3.2683440167602384e-06,1e-05,0.1489444
74,1230,2.2819746999994095,11,-4.709999997168779,-3.079999975860119,50,19.989093780517578,3.481660996840219e-06,1e-05,0.14893486666666667
75,1245,1.9477136000004975,15,-4.469999993219972,-3.079999975860119,50,23.908458709716797,3.7178147067606915e-06,1e-05,0.14892186666666665
76,1256,2.1479826000004323,11,-4.799999998882413,-3.079999975860119,50,18.46000862121582,3.8247408156166784e-06,1e-05,0.1489123333333333
77,1290,4.395083000000341,34,-3.8099999856203794,-3.079999975860119,50,19.235126495361328,4.24285417466308e-06,1e-05,0.14888286666666667
78,1303,2.0809335000003557,13,-4.619999995455146,-3.079999975860119,50,25.77783203125,4.374499440018553e-06,1e-05,0.1488716
79,1333,4.330262999999832,30,-3.999999988824129,-3.079999975860119,50,18.46621322631836,4.717312549473718e-06,1e-05,0.1488456
80,1362,4.5283285999994405,29,-4.159999990835786,-3.079999975860119,50,24.181264877319336,5.0192988965136465e-06,1e-05,0.14882046666666668
81,1397,4.296500499999638,35,-3.669999983161688,-3.079999975860119,50,18.078109741210938,5.4817969612486195e-06,1e-05,0.14879013333333332
