episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,lat_scale_2,lat_scale_3,lat_scale_fc,train/loss,train/learning_rate,rollout/exploration_rate
1,20,6.05651759984903,20,4.6600000858306885,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9996896666666668
2,22,1.5451453998684883,2,-5.0,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9996569999999999
3,25,1.5478224998805672,3,-4.949999999254942,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9996080000000004
4,32,1.5978316001128405,7,-4.829999998211861,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.999493666666667
5,41,1.8650187999010086,9,-4.8099999986588955,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9993466666666667
6,53,2.1162002999335527,12,-4.799999998882413,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9991506666666669
7,66,2.1801038000267,13,-4.659999996423721,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9989383333333336
8,68,1.5475002001039684,2,-5.0,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9989056666666668
9,71,1.5152704000938684,3,-4.949999999254942,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9988566666666664
10,82,2.2143539001699537,11,-4.78999999910593,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.998677
11,84,1.548959800042212,2,-5.0,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9986443333333331
12,86,1.54821309982799,2,-5.0,4.6600000858306885,20,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.998611666666667
13,107,3.646671500056982,21,-3.990000005811453,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9982686666666669
14,120,2.114090499933809,13,-4.699999997392297,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9980563333333337
15,133,2.1975807999260724,13,-4.649999996647239,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9978439999999996
16,135,1.5491841998882592,2,-5.0,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9978113333333335
17,137,1.5315336000639945,2,-5.0,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9977786666666666
18,143,1.531722400104627,6,-4.879999998956919,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9976806666666667
19,152,1.9970551000442356,9,-4.849999999627471,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9975336666666664
20,166,2.4647142998874187,14,-4.739999998360872,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9973049999999998
21,179,2.064320100005716,13,-4.659999996423721,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9970926666666665
22,190,2.11405980004929,11,-4.839999999850988,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.996913
23,206,2.630649199942127,16,-4.5799999963492155,4.6600000858306885,21,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9966516666666665
24,235,4.778886599931866,29,-0.7999999783933163,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9961780000000003
25,237,1.5479108998551965,2,-5.0,4.6600000858306885,29,0.009999999776482582,0.009999999776482582,0.009999999776482582,,,0.9961453333333334
