episode,time_alive,reward,loss,lat_scale_2,lat_scale_3,lat_scale_fc,time_smooth,reward_smooth,loss_smooth
1,4.457994222640991,2.420001,0.0,0.0,0.0,0.0,4.457994222640991,2.4200010299682617,0.0
2,2.0469911098480225,-4.79,0.0,0.0,0.0,0.0,3.252492666244507,-1.1849994659423828,0.0
3,1.5483100414276123,-5.0,0.0,0.0,0.0,0.0,2.684431791305542,-2.4566663106282554,0.0
4,1.5489554405212402,-5.0,0.0,0.0,0.0,0.0,2.4005627036094666,-3.0924997329711914,0.0
5,1.5150747299194336,-4.83,0.0,0.0,0.0,0.0,2.22346510887146,-3.4399997711181642,0.0
6,2.2819597721099854,-4.65,0.0,0.0,0.0,0.0,2.2332142194112143,-3.6416664918263755,0.0
7,1.5471904277801514,-5.0,0.0,0.0,0.0,0.0,2.1352108206067766,-3.835714135851179,0.0
8,1.5337402820587158,-4.95,0.0,0.0,0.0,0.0,2.060027003288269,-3.9749998450279236,0.0
9,1.5142719745635986,-4.88,0.0,0.0,0.0,0.0,1.9993875556521945,-4.075555430518256,0.0
10,2.264594078063965,-4.65,0.0,0.0,0.0,0.0,2.0259082078933717,-4.132999897003174,0.0
11,2.215270519256592,-4.71,0.0,0.0,0.0,0.0,2.043122963471846,-4.185454455288974,0.0
12,1.5480132102966309,-4.95,0.0,0.0,0.0,0.0,2.0018638173739114,-4.24916656812032,0.0
13,1.5482885837554932,-5.0,0.0,0.0,0.0,0.0,1.9669734147878795,-4.306922985957219,0.0
14,1.5149266719818115,-4.87,0.0,0.0,0.0,0.0,1.9346843617303031,-4.34714276450021,0.0
15,3.49649977684021,-1.3200002,0.0,0.0,0.0,0.0,2.038805389404297,-4.145333258310954,0.0
16,2.099022150039673,-4.61,0.0,0.0,0.0,0.0,2.042568936944008,-4.174374938011169,0.0
17,1.9800102710723877,-4.8,0.0,0.0,0.0,0.0,2.0388890154221477,-4.2111764234655045,0.0
18,1.549023151397705,-5.0,0.0,0.0,0.0,0.0,2.011674245198568,-4.254999955495198,0.0
19,1.5824332237243652,-4.9,0.0,0.0,0.0,0.0,1.9890826124893992,-4.288947331277948,0.0
20,1.6147444248199463,-4.88,0.0,0.0,0.0,0.0,1.9703657031059265,-4.318499970436096,0.0
21,1.864259958267212,-4.81,0.0,0.0,0.0,0.0,1.9653130485897972,-4.341904731023879,0.0
22,2.0977869033813477,-4.65,0.0,0.0,0.0,0.0,1.9713345874439587,-4.355909065766768,0.0
23,2.5990047454833984,-4.5,0.0,0.0,0.0,0.0,1.9986245943152385,-4.3621738889943,0.0
24,4.311307191848755,-1.77,0.0,0.0,0.0,0.0,2.0949863692124686,-4.254166642824809,0.0
25,2.5817458629608154,-4.74,0.0,0.0,0.0,0.0,2.1144567489624024,-4.273599967956543,0.0
26,1.5472817420959473,-5.0,0.0,0.0,0.0,0.0,2.0926423256213846,-4.301538430727446,0.0
27,1.5322012901306152,-4.98,0.0,0.0,0.0,0.0,2.071885250232838,-4.326666637703225,0.0
28,1.6161093711853027,-4.88,0.0,0.0,0.0,0.0,2.0556075402668545,-4.346428547586713,0.0
29,1.8977887630462646,-4.62,0.0,0.0,0.0,0.0,2.0501655134661445,-4.355862041999554,0.0
30,1.5473570823669434,-5.0,0.0,0.0,0.0,0.0,2.033405232429504,-4.377333307266236,0.0
31,1.532942295074463,-5.0,0.0,0.0,0.0,0.0,1.93590350151062,-4.624666674931844,0.0
32,1.5806756019592285,-4.83,0.0,0.0,0.0,0.0,1.9203596512476604,-4.626000006993611,0.0
33,1.6826236248016357,-4.76,0.0,0.0,0.0,0.0,1.924836770693461,-4.618000014623006,0.0
34,2.413701057434082,-4.56,0.0,0.0,0.0,0.0,1.9536616245905558,-4.6033333460489905,0.0
35,1.9651269912719727,-4.66,0.0,0.0,0.0,0.0,1.9686633666356406,-4.597666676839193,0.0
36,3.2641124725341797,-4.47,0.0,0.0,0.0,0.0,2.0014017899831136,-4.591666666666667,0.0
37,1.5483527183532715,-5.0,0.0,0.0,0.0,0.0,2.0014405330022176,-4.591666666666667,0.0
38,1.5476155281066895,-4.95,0.0,0.0,0.0,0.0,2.001903041203817,-4.591666666666667,0.0
39,1.7155959606170654,-4.91,0.0,0.0,0.0,0.0,2.0086138407389322,-4.592666657765706,0.0
40,1.5498077869415283,-5.0,0.0,0.0,0.0,0.0,1.9847876310348511,-4.604333321253459,0.0
41,1.5305116176605225,-4.95,0.0,0.0,0.0,0.0,1.9619623343149821,-4.612333313624064,0.0
