episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/loss,train/learning_rate,rollout/exploration_rate
1,10,5.523396015167236,10,-0.7199999690055847,-0.7199999690055847,10,,,0.9996287500000002
2,27,2.7470510005950928,17,-1.6200000122189522,-0.7199999690055847,17,,,0.9989275
3,37,2.1472067832946777,10,-4.849999999627471,-0.7199999690055847,17,,,0.9985150000000002
4,49,1.8822903633117676,12,-4.709999997168779,-0.7199999690055847,17,,,0.9980199999999999
5,63,1.8809869289398193,14,-4.57999999448657,-0.7199999690055847,17,,,0.9974425000000001
6,78,2.7639381885528564,15,-4.669999998062849,-0.7199999690055847,17,,,0.9968237500000001
7,90,2.0487842559814453,12,-4.749999998137355,-0.7199999690055847,17,,,0.9963287500000001
8,99,1.914379596710205,9,-4.8900000005960464,-0.7199999690055847,17,,,0.9959574999999999
9,112,2.031351089477539,13,-4.649999996647239,-0.7199999690055847,17,,,0.99542125
10,124,2.114863395690918,12,-4.699999997392297,-0.7199999690055847,17,,,0.9949262500000001
11,144,2.964167833328247,20,-2.9299999605864286,-0.7199999690055847,20,,,0.9941012499999998
12,154,1.9822289943695068,10,-4.799999998882413,-0.7199999690055847,20,,,0.99368875
13,170,1.9969086647033691,16,-4.509999994188547,-0.7199999690055847,20,,,0.9930287500000001
14,173,1.132291316986084,3,-4.949999999254942,-0.7199999690055847,20,,,0.992905
15,185,1.6477916240692139,12,-4.619999995455146,-0.7199999690055847,20,,,0.9924100000000001
16,195,1.915837287902832,10,-4.839999999850988,-0.7199999690055847,20,,,0.9919975
17,207,1.9644136428833008,12,-4.699999997392297,-0.7199999690055847,20,,,0.9915025000000001
18,210,1.1320481300354004,3,-4.949999999254942,-0.7199999690055847,20,,,0.99137875
19,214,1.3163425922393799,4,-4.980000000447035,-0.7199999690055847,20,,,0.99121375
20,227,1.6479341983795166,13,-4.609999995678663,-0.7199999690055847,20,,,0.9906775000000001
21,229,1.131925344467163,2,-5.0,-0.7199999690055847,20,,,0.9905949999999999
22,242,1.5980353355407715,13,-4.529999993741512,-0.7199999690055847,20,,,0.9900587500000001
23,254,2.282233715057373,12,-4.739999998360872,-0.7199999690055847,20,,,0.9895637500000002
24,272,2.7312071323394775,18,-4.5299999956041574,-0.7199999690055847,20,,,0.98882125
25,281,1.9304511547088623,9,-4.849999999627471,-0.7199999690055847,20,,,0.9884500000000002
26,295,2.0153262615203857,14,-4.599999995902181,-0.7199999690055847,20,,,0.9878725
27,299,1.1149749755859375,4,-4.949999999254942,-0.7199999690055847,20,,,0.9877075000000001
28,304,1.1158123016357422,5,-4.929999999701977,-0.7199999690055847,20,,,0.9875012499999998
29,323,2.897113800048828,19,-4.479999994859099,-0.7199999690055847,20,,,0.9867175000000001
30,336,2.1812617778778076,13,-4.649999996647239,-0.7199999690055847,20,,,0.98618125
31,352,2.78144907951355,16,-4.619999997317791,-0.7199999690055847,20,,,0.98552125
32,364,1.9145724773406982,12,-4.669999996200204,-0.7199999690055847,20,,,0.9850262500000001
33,374,1.6815478801727295,10,-4.8099999986588955,-0.7199999690055847,20,,,0.98461375
34,378,1.1153321266174316,4,-4.949999999254942,-0.7199999690055847,20,,,0.98444875
35,390,1.6657028198242188,12,-4.619999995455146,-0.7199999690055847,20,,,0.9839537500000001
36,406,2.2968716621398926,16,-4.549999995157123,-0.7199999690055847,20,,,0.9832937500000001
37,418,1.9153110980987549,12,-4.619999995455146,-0.7199999690055847,20,,,0.9827987500000002
38,437,2.831080913543701,19,-4.439999993890524,-0.7199999690055847,20,,,0.9820150000000002
39,446,1.9315557479858398,9,-4.900000000372529,-0.7199999690055847,20,,,0.9816437499999999
40,459,2.1807918548583984,13,-4.699999997392297,-0.7199999690055847,20,,,0.9811075
41,476,2.9142723083496094,17,-4.5299999956041574,-0.7199999690055847,20,,,0.9804062499999999
42,493,2.613844394683838,17,-4.5299999956041574,-0.7199999690055847,20,,,0.979705
43,506,2.0315799713134766,13,-4.699999997392297,-0.7199999690055847,20,,,0.9791687499999998
44,519,2.347506284713745,13,-4.689999997615814,-0.7199999690055847,20,,,0.9786325
45,530,1.8815667629241943,11,-4.749999998137355,-0.7199999690055847,20,,,0.9781787499999999
46,550,3.030914306640625,20,-3.919999983161688,-0.7199999690055847,20,,,0.97735375
47,565,2.680375814437866,15,-4.669999998062849,-0.7199999690055847,20,,,0.976735
48,575,2.1483850479125977,10,-4.839999999850988,-0.7199999690055847,20,,,0.9763224999999999
49,585,1.8979384899139404,10,-4.8900000005960464,-0.7199999690055847,20,,,0.97591
50,597,2.349613904953003,12,-4.739999998360872,-0.7199999690055847,20,,,0.9754150000000001
51,607,1.9130995273590088,10,-4.839999999850988,-0.7199999690055847,20,,,0.9750025
52,620,2.048194646835327,13,-4.609999995678663,-0.7199999690055847,20,,,0.9744662500000002
53,632,2.264547109603882,12,-4.78999999910593,-0.7199999690055847,20,,,0.9739712499999998
54,645,1.6649398803710938,13,-4.619999995455146,-0.7199999690055847,20,,,0.973435
55,654,1.914839267730713,9,-4.849999999627471,-0.7199999690055847,20,,,0.9730637500000001
56,667,1.9820353984832764,13,-4.659999996423721,-0.7199999690055847,20,,,0.9725274999999999
57,683,2.6795871257781982,16,-4.669999998062849,-0.7199999690055847,20,,,0.9718675
58,696,2.181541681289673,13,-4.699999997392297,-0.7199999690055847,20,,,0.9713312500000001
59,708,2.1147122383117676,12,-4.699999997392297,-0.7199999690055847,20,,,0.9708362499999998
