episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/learning_rate
22,530,3.6297197341918945,23,-4.399999994784594,11.450000047683716,58,-0.0007366514764726162,4.2792022824287415,-0.6848715469241142,0.0014124601148068905,0.01171875,-0.4114023447036743,0.00025
23,543,2.214601755142212,13,-4.699999997392297,11.450000047683716,58,-0.0007366514764726162,4.2792022824287415,-0.6848715469241142,0.0014124601148068905,0.01171875,-0.4114023447036743,0.00025
24,557,2.2806708812713623,14,-4.649999996647239,11.450000047683716,58,-0.0007366514764726162,4.2792022824287415,-0.6848715469241142,0.0014124601148068905,0.01171875,-0.4114023447036743,0.00025
25,608,8.14225959777832,51,-3.6699999906122684,11.450000047683716,58,-0.0007366514764726162,4.2792022824287415,-0.6848715469241142,0.0014124601148068905,0.01171875,-0.4114023447036743,0.00025
26,630,3.9297564029693604,22,-4.4799999967217445,11.450000047683716,58,-0.0007366514764726162,4.2792022824287415,-0.6848715469241142,0.0014124601148068905,0.01171875,-0.4114023447036743,0.00025
27,642,2.000227451324463,12,-4.749999998137355,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
28,656,2.1956655979156494,14,-4.599999995902181,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
29,671,2.4002726078033447,15,-4.719999998807907,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
30,680,1.4308991432189941,9,-4.689999995753169,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
31,690,1.9645819664001465,10,-4.839999999850988,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
32,709,3.8298699855804443,19,-4.629999998956919,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
33,724,2.080954074859619,15,-4.51999999396503,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
34,736,2.0475332736968994,12,-4.739999998360872,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
35,755,3.7795209884643555,19,-4.720000000670552,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
36,766,2.2813644409179688,11,-4.839999999850988,11.450000047683716,58,-0.00021823437418788671,0.7795763462781906,-0.6836647167801857,0.0011729337275028229,0.0,-0.07446885108947754,0.00025
37,786,3.6298632621765137,20,-4.49999999627471,11.450000047683716,58,-0.0035120872780680656,0.6367508545517921,-0.6807935461401939,0.0002020583488047123,0.00390625,-0.7489413022994995,0.00025
38,819,5.245126008987427,33,-4.089999992400408,11.450000047683716,58,-0.0035120872780680656,0.6367508545517921,-0.6807935461401939,0.0002020583488047123,0.00390625,-0.7489413022994995,0.00025
39,838,2.383246660232544,19,-4.5299999956041574,11.450000047683716,58,-0.0035120872780680656,0.6367508545517921,-0.6807935461401939,0.0002020583488047123,0.00390625,-0.7489413022994995,0.00025
40,858,3.4282140731811523,20,-4.539999997243285,11.450000047683716,58,-0.0035120872780680656,0.6367508545517921,-0.6807935461401939,0.0002020583488047123,0.00390625,-0.7489413022994995,0.00025
41,880,4.012969970703125,22,-4.529999997466803,11.450000047683716,58,-0.0035120872780680656,0.6367508545517921,-0.6807935461401939,0.0002020583488047123,0.00390625,-0.7489413022994995,0.00025
42,892,2.0640013217926025,12,-4.699999997392297,11.450000047683716,58,-0.0035120872780680656,0.6367508545517921,-0.6807935461401939,0.0002020583488047123,0.00390625,-0.7489413022994995,0.00025
43,902,2.182523250579834,10,-4.849999999627471,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
44,935,5.260716199874878,33,-4.049999991431832,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
45,951,2.214334011077881,16,-4.469999993219972,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
46,975,3.580014228820801,24,-4.30999999307096,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
47,988,2.2983415126800537,13,-4.749999998137355,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
48,999,2.0810861587524414,11,-4.78999999910593,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
49,1011,2.064638614654541,12,-4.78999999910593,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
50,1024,2.5147979259490967,13,-4.72999999858439,11.450000047683716,58,-0.0007790221134200692,0.24914630316197872,-0.6878017336130142,0.0024920538999140263,0.01171875,-0.36172378063201904,0.00025
51,1050,3.6296966075897217,26,-4.079999988898635,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
52,1063,2.0644984245300293,13,-4.739999998360872,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
53,1067,1.1318953037261963,4,-4.949999999254942,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
54,1071,1.1329214572906494,4,-4.980000000447035,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
55,1082,2.047795057296753,11,-4.78999999910593,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
56,1085,1.1322393417358398,3,-4.949999999254942,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
57,1090,1.149451732635498,5,-4.889999998733401,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
58,1103,2.3147194385528564,13,-4.739999998360872,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
59,1136,5.194415807723999,33,-4.089999992400408,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
60,1149,2.3640143871307373,13,-4.72999999858439,11.450000047683716,58,-0.007105707307346165,0.21988472528755665,-0.6919706389307976,0.006482036784291267,0.25390625,-0.09348404407501221,0.00025
61,1175,3.530667543411255,26,-4.129999989643693,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
62,1187,2.297971725463867,12,-4.749999998137355,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
63,1227,5.644669532775879,40,-3.8399999886751175,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
64,1229,1.131821870803833,2,-5.0,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
65,1235,1.1486237049102783,6,-4.879999998956919,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
66,1247,2.1817080974578857,12,-4.78999999910593,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
67,1271,3.613025665283203,24,-4.30999999307096,11.450000047683716,58,-0.004139161901548505,0.3016645908355713,-0.6888875365257263,0.0043249111622571945,0.07421875,-0.2418651580810547,0.00025
68,1284,2.247865915298462,13,-4.659999996423721,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
69,1300,2.4312069416046143,16,-4.549999995157123,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
70,1311,1.965616226196289,11,-4.839999999850988,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
71,1330,2.3801369667053223,19,-4.439999993890524,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
72,1374,5.178601026535034,44,-3.38999998010695,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
73,1377,1.1319139003753662,3,-4.949999999254942,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
74,1383,1.299267292022705,6,-4.839999997988343,11.450000047683716,58,-0.0059163348050788045,0.28006099723279476,-0.6726465001702309,0.004798238165676594,0.109375,-0.0725550651550293,0.00025
75,1423,4.92886209487915,40,-3.589999983087182,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
76,1437,2.298236846923828,14,-4.559999994933605,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
77,1453,2.031132459640503,16,-4.469999993219972,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
78,1478,3.8619775772094727,25,-4.259999992325902,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
79,1495,2.181696891784668,17,-4.4999999944120646,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
80,1513,2.0477871894836426,18,-4.3199999909847975,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
81,1516,1.1330575942993164,3,-4.949999999254942,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
82,1521,1.165544033050537,5,-4.889999998733401,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
83,1536,2.083268404006958,15,-4.589999996125698,11.450000047683716,58,-0.0016168770380318165,0.2997942417860031,-0.6512676328420639,0.0012283094692975283,0.0,-0.01781904697418213,0.00025
84,1550,2.278867721557617,14,-4.51999999396503,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
85,1566,2.2653982639312744,16,-4.549999995157123,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
86,1597,3.779409646987915,31,-3.8299999851733446,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
87,1614,1.9810459613800049,17,-4.379999991506338,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
88,1618,1.1324646472930908,4,-4.949999999254942,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
89,1627,1.131852626800537,9,-4.649999994784594,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
90,1643,2.1985268592834473,16,-4.459999993443489,11.450000047683716,58,-0.003968846285715699,0.18173951469361782,-0.6133690699934959,0.004715747199952602,0.154296875,0.021772801876068115,0.00025
91,1668,3.6139867305755615,25,-4.2199999913573265,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
92,1696,3.7122013568878174,28,-4.069999989122152,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
93,1737,5.544596195220947,41,-3.6599999852478504,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
94,1749,2.14772891998291,12,-4.749999998137355,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
95,1765,2.4978413581848145,16,-4.589999996125698,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
96,1780,2.1815764904022217,15,-4.599999995902181,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
97,1792,2.1641600131988525,12,-4.659999996423721,11.450000047683716,58,-0.004943545209243894,0.14728244300931692,-0.6140037626028061,0.0029661108274012804,0.064453125,0.384579598903656,0.00025
98,1817,3.6300241947174072,25,-4.129999989643693,11.450000047683716,58,-0.007113545783795416,0.2022151406854391,-0.6061757206916809,0.004887481220066547,0.087890625,0.28371918201446533,0.00025
99,1833,2.065230131149292,16,-4.459999993443489,11.450000047683716,58,-0.007113545783795416,0.2022151406854391,-0.6061757206916809,0.004887481220066547,0.087890625,0.28371918201446533,0.00025
100,1863,3.6123709678649902,30,-3.8799999859184027,11.450000047683716,58,-0.007113545783795416,0.2022151406854391,-0.6061757206916809,0.004887481220066547,0.087890625,0.28371918201446533,0.00025
101,1896,3.6139168739318848,33,-3.689999982714653,11.450000047683716,58,-0.007113545783795416,0.2022151406854391,-0.6061757206916809,0.004887481220066547,0.087890625,0.28371918201446533,0.00025
102,1913,2.4139091968536377,17,-4.409999992698431,11.450000047683716,58,-0.007113545783795416,0.2022151406854391,-0.6061757206916809,0.004887481220066547,0.087890625,0.28371918201446533,0.00025
103,1931,2.16568922996521,18,-4.3199999909847975,11.450000047683716,58,-0.002177347196266055,0.19681989960372448,-0.5936932936310768,0.002030920470133424,0.056640625,0.3502373695373535,0.00025
104,1945,2.0810914039611816,14,-4.559999994933605,11.450000047683716,58,-0.002177347196266055,0.19681989960372448,-0.5936932936310768,0.002030920470133424,0.056640625,0.3502373695373535,0.00025
105,1972,3.4963231086730957,27,-4.029999988153577,11.450000047683716,58,-0.002177347196266055,0.19681989960372448,-0.5936932936310768,0.002030920470133424,0.056640625,0.3502373695373535,0.00025
106,1990,2.480884313583374,18,-4.409999992698431,11.450000047683716,58,-0.002177347196266055,0.19681989960372448,-0.5936932936310768,0.002030920470133424,0.056640625,0.3502373695373535,0.00025
107,2032,5.062047719955444,42,-3.5299999825656414,11.450000047683716,58,-0.002177347196266055,0.19681989960372448,-0.5936932936310768,0.002030920470133424,0.056640625,0.3502373695373535,0.00025
108,2062,3.6469383239746094,30,-3.9299999866634607,11.450000047683716,58,-0.001401307643391192,0.2604766469448805,-0.59247937053442,0.00021821819245815277,0.0,0.25801998376846313,0.00025
109,2076,2.3641207218170166,14,-4.609999995678663,11.450000047683716,58,-0.001401307643391192,0.2604766469448805,-0.59247937053442,0.00021821819245815277,0.0,0.25801998376846313,0.00025
110,2089,1.9814167022705078,13,-4.659999996423721,11.450000047683716,58,-0.001401307643391192,0.2604766469448805,-0.59247937053442,0.00021821819245815277,0.0,0.25801998376846313,0.00025
111,2104,2.1978940963745117,15,-4.559999994933605,11.450000047683716,58,-0.001401307643391192,0.2604766469448805,-0.59247937053442,0.00021821819245815277,0.0,0.25801998376846313,0.00025
112,2133,3.745809316635132,29,-4.049999989569187,11.450000047683716,58,-0.001401307643391192,0.2604766469448805,-0.59247937053442,0.00021821819245815277,0.0,0.25801998376846313,0.00025
113,2180,5.3630571365356445,47,-3.1599999759346247,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
114,2197,1.9973852634429932,17,-4.379999991506338,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
115,2215,2.4138479232788086,18,-4.409999992698431,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
116,2232,2.1989846229553223,17,-4.459999993443489,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
117,2265,3.763199806213379,33,-3.6999999824911356,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
118,2282,2.0473549365997314,17,-4.459999993443489,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
119,2297,2.3975448608398438,15,-4.599999995902181,11.450000047683716,58,-0.005034935544244945,0.3231637328863144,-0.5600760504603386,0.002284102141857147,0.05859375,0.16598325967788696,0.00025
120,2312,1.98162841796875,15,-4.469999993219972,11.450000047683716,58,-0.0051728145917877555,0.21173060312867165,-0.5266788452863693,0.003379650181159377,0.11328125,0.4518166780471802,0.00025
121,2330,2.165151357650757,18,-4.409999992698431,11.450000047683716,58,-0.0051728145917877555,0.21173060312867165,-0.5266788452863693,0.003379650181159377,0.11328125,0.4518166780471802,0.00025
122,2366,3.763050079345703,36,-3.4999999795109034,11.450000047683716,58,-0.0051728145917877555,0.21173060312867165,-0.5266788452863693,0.003379650181159377,0.11328125,0.4518166780471802,0.00025
123,2405,3.66296648979187,39,-3.3599999770522118,11.450000047683716,58,-0.0051728145917877555,0.21173060312867165,-0.5266788452863693,0.003379650181159377,0.11328125,0.4518166780471802,0.00025
124,2439,3.6298375129699707,34,-3.5999999810010195,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
125,2453,2.198596239089966,14,-4.599999995902181,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
126,2470,2.1648507118225098,17,-4.419999992474914,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
127,2490,2.181166172027588,20,-4.219999989494681,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
128,2511,2.197720527648926,21,-4.129999987781048,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
129,2530,2.4973526000976562,19,-4.309999991208315,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
130,2559,3.0809578895568848,29,-3.9399999864399433,11.450000047683716,58,-0.0006259572692215443,0.2583977188915014,-0.517946369946003,0.0008195186965167522,0.005859375,0.4734543561935425,0.00025
131,2562,1.1481125354766846,3,-4.949999999254942,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
132,2589,2.9807403087615967,27,-3.9099999852478504,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
133,2593,1.1324174404144287,4,-4.949999999254942,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
134,2617,2.4641518592834473,24,-4.019999986514449,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
135,2620,1.131890058517456,3,-4.949999999254942,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
136,2633,1.2489345073699951,13,-4.449999991804361,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
137,2668,3.530278205871582,35,-3.5499999802559614,11.450000047683716,58,-0.0035341542679816484,0.24003726057708263,-0.42470454052090645,0.01447417214512825,0.228515625,0.6688156127929688,0.00025
138,2690,2.1977529525756836,22,-4.129999987781048,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
139,2694,1.132335901260376,4,-4.949999999254942,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
140,2701,1.1327650547027588,7,-4.789999997243285,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
141,2717,2.0473523139953613,16,-4.459999993443489,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
142,2720,1.1325500011444092,3,-4.949999999254942,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
143,2726,1.1319727897644043,6,-4.879999998956919,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
144,2729,1.133108377456665,3,-4.949999999254942,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
145,2735,1.231663465499878,6,-4.839999997988343,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
146,2751,1.998044490814209,16,-4.419999992474914,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
147,2769,2.264195203781128,18,-4.3699999917298555,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
148,2789,2.0320208072662354,20,-4.229999989271164,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
149,2809,2.2487595081329346,20,-4.229999989271164,11.450000047683716,58,-0.00019867613445967436,0.2360890954732895,-0.4509904123842716,0.0004346438217908144,0.029296875,0.26812994480133057,0.00025
