episode,timestep,task,reward,length
207,3684,2,-2.3799999999999994,14
208,3700,0,-4.55,16
209,3702,0,-5.0,2
210,3716,0,-4.68,14
211,3727,2,-2.872,11
212,3756,0,-3.9799999999999995,29
213,3770,3,-6.524,14
214,3807,0,-3.8099999999999996,37
215,3821,0,-4.5600000000000005,14
216,3823,4,-2.8,2
217,3830,3,-6.706,7
218,3844,4,-0.1419999999999999,14
219,3860,0,-4.46,16
220,3898,4,5.138000000000007,38
221,3913,4,0.0940000000000003,15
222,3938,1,-3.851999999999999,25
223,3966,1,-3.426,28
224,3968,3,-7.0,2
225,3974,3,-6.776,6
226,3989,4,0.0940000000000003,15
227,4004,2,-2.2479999999999993,15
228,4043,0,-3.589999999999999,39
229,4069,4,2.5040000000000022,26
230,4085,1,-4.662,16
231,4100,4,0.08800000000000008,15
232,4127,2,-0.6559999999999979,27
233,4147,2,-1.6999999999999988,20
234,4159,0,-4.75,12
235,4199,3,-5.026,40
236,4214,0,-4.56,15
237,4249,2,0.272000000000002,35
238,4251,2,-3.9,2
239,4257,0,-4.84,6
240,4280,3,-6.034,23
241,4325,0,-3.369999999999999,45
242,4355,1,-3.1700000000000004,30
243,4367,2,-2.6599999999999997,12
244,4380,4,-0.41999999999999993,13
245,4433,1,-1.3600000000000012,53
246,4475,0,-3.4899999999999993,42
247,4491,1,-4.601999999999999,16
248,4507,4,0.3480000000000003,16
249,4533,0,-4.13,26
250,4551,1,-4.441999999999999,18
251,4563,1,-4.994,12
252,4606,0,-3.399999999999999,43
253,4619,4,-0.3899999999999997,13
254,4669,0,-3.0399999999999987,50
255,4682,4,-0.41999999999999993,13
256,4697,3,-6.328,15
257,4727,2,-0.20399999999999752,30
258,4762,3,-5.474,35
259,4779,3,-6.244,17
260,4781,1,-5.95,2
261,4785,2,-3.652,4
262,4799,2,-2.3479999999999994,14
263,4812,4,-0.3899999999999997,13
264,4836,1,-3.9739999999999993,24
265,4850,1,-4.882,14
266,4863,2,-2.5599999999999996,13
267,4879,2,-2.035999999999999,16
268,4919,4,5.652000000000006,40
269,4930,2,-2.768,11
270,4940,4,-1.08,10
271,4942,4,-2.8,2
272,4972,1,-3.302,30
273,4986,0,-4.6,14
274,5001,1,-4.712,15
275,5062,2,3.5439999999999934,61
276,5087,3,-5.908,25
277,5125,4,5.114000000000006,38
278,5140,1,-4.712,15
279,5155,4,0.0940000000000003,15
280,5204,3,-4.788,49
281,5234,2,-0.20399999999999752,30
282,5278,1,-1.9060000000000024,44
283,5319,1,-2.2360000000000015,41
284,5346,3,-5.754,27
285,5359,0,-4.61,13
286,5387,3,-5.628,28
287,5464,0,4.610000000000001,77
288,5466,3,-7.0,2
289,5471,4,-2.158,5
290,5486,1,-4.664,15
291,5502,1,-4.614,16
292,5517,3,-6.314,15
293,5534,0,-4.41,17
294,5561,1,-3.6799999999999997,27
295,5577,2,-2.067999999999999,16
296,5620,3,-4.69,43
297,5633,2,-2.5519999999999996,13
298,5646,0,-4.66,13
299,5672,1,-3.753999999999999,26
300,5688,4,0.31800000000000006,16
301,5716,1,-3.474,28
302,5762,3,-4.718,46
303,5788,3,-5.782,26
304,5850,4,10.538000000000013,62
305,5888,0,-3.7199999999999993,38
306,5900,2,-2.6679999999999997,12
307,5926,1,-3.6939999999999995,26
308,5937,0,-4.71,11
309,5981,3,-4.676,44
310,5995,3,-6.51,14
311,6007,2,-2.6599999999999997,12
312,6031,1,-4.009999999999999,24
313,6044,1,-4.9319999999999995,13
314,6093,0,-3.169999999999999,49
315,6107,3,-6.4399999999999995,14
316,6122,4,0.0940000000000003,15
317,6151,0,-3.9299999999999997,29
318,6167,2,-2.107999999999999,16
319,6183,1,-4.614,16
320,6212,4,3.2660000000000045,29
321,6241,0,-3.9299999999999997,29
322,6254,1,-4.9319999999999995,13
323,6269,0,-4.51,15
324,6299,2,-0.20399999999999752,30
325,6330,0,-3.789999999999999,31
326,6373,1,-1.9320000000000022,43
327,6388,1,-4.712,15
328,6401,0,-4.65,13
329,6428,3,-5.712,27
330,6440,0,-4.78,12
331,6466,0,-4.119999999999999,26
332,6492,0,-4.119999999999999,26
333,6508,1,-4.662,16
334,6543,4,4.5620000000000065,35
335,6571,0,-3.9399999999999995,28
336,6586,0,-4.5600000000000005,15
337,6600,4,-0.11199999999999966,14
338,6614,4,-0.16599999999999993,14
339,6645,2,-0.10399999999999743,31
340,6685,3,-5.081999999999999,40
341,6704,1,-4.331999999999999,19
342,6734,2,-0.2759999999999976,30
343,6748,2,-2.3479999999999994,14
344,6779,4,3.7260000000000053,31
345,6796,2,-1.935999999999999,17
346,6811,4,0.0940000000000003,15
347,6870,3,-4.2280000000000015,59
348,6898,2,-0.5159999999999978,28
349,6943,0,-3.459999999999999,45
350,6968,2,-1.0399999999999983,25
351,7008,2,1.0280000000000005,40
352,7056,2,2.123999999999997,48
353,7069,1,-4.992,13
354,7084,1,-4.664,15
355,7131,2,2.0399999999999974,47
356,7204,0,-2.3400000000000016,73
357,7230,4,2.480000000000002,26
358,7278,4,7.516000000000009,48
359,7346,1,0.5180000000000051,68
360,7360,2,-2.3159999999999994,14
361,7393,1,-2.888000000000001,33
362,7419,4,2.498000000000002,26
363,7446,0,-4.16,27
364,7473,3,-5.712,27
365,7504,4,3.672000000000005,31
366,7536,0,-3.7399999999999993,32
367,7549,4,-0.3899999999999997,13
368,7598,1,-1.4640000000000013,49
369,7628,1,-3.2180000000000004,30
370,7645,0,-4.37,17
371,7675,1,-3.266,30
372,7691,1,-4.601999999999999,16
373,7705,2,-2.3479999999999994,14
374,7721,2,-2.1719999999999993,16
375,7793,2,5.083999999999996,72
376,7855,2,3.8599999999999923,62
377,7903,3,-4.410000000000001,48
378,7919,4,0.27,16
379,7935,0,-4.51,16
380,7982,2,2.0159999999999973,47
381,8031,4,7.77000000000001,49
382,8061,3,-5.446,30
383,8080,4,1.032,19
384,8115,2,0.5520000000000014,35
385,8128,4,-0.3899999999999997,13
386,8145,3,-6.188000000000001,17
387,8159,2,-2.3479999999999994,14
388,8191,2,0.07600000000000229,32
389,8206,3,-6.384,15
390,8257,2,2.535999999999996,51
391,8306,4,7.794000000000009,49
392,8323,3,-6.188000000000001,17
393,8373,2,2.4919999999999964,50
394,8425,0,-2.939999999999999,52
395,8443,4,0.8080000000000003,18
396,8491,4,7.54000000000001,48
397,8535,2,1.6519999999999984,44
398,8555,2,-1.4759999999999986,20
399,8571,2,-2.035999999999999,16
400,8622,3,-4.242000000000001,51
401,8674,3,-4.074000000000002,52
402,8727,0,-2.7799999999999994,53
403,8745,2,-1.795999999999999,18
404,8761,4,0.31800000000000006,16
405,8839,1,2.1220000000000088,78
406,8867,4,3.012000000000004,28
407,8915,1,-1.274,48
408,8946,0,-3.7899999999999996,31
409,8975,3,-5.572,29
410,9034,0,-3.0399999999999987,59
411,9051,3,-6.062,17
412,9123,1,0.7660000000000062,72
413,9139,0,-4.47,16
414,9141,2,-3.9,2
415,9181,4,5.796000000000008,40
416,9210,0,-3.9299999999999997,29
417,9255,4,6.778000000000006,45
418,9299,3,-4.746,44
419,9328,0,-3.9799999999999995,29
420,9361,0,-3.6499999999999995,33
421,9415,2,3.019999999999995,54
422,9443,3,-5.572,28
423,9460,1,-4.504,17
424,9559,0,9.370000000000001,99
425,9574,0,-4.56,15
426,9644,0,-2.2900000000000023,70
427,9690,4,6.930000000000007,46
428,9721,4,3.7260000000000053,31
429,9804,2,6.800000000000004,83
430,9832,2,-0.5559999999999978,28
431,9878,4,7.080000000000009,46
432,9933,2,3.223999999999995,55
433,9970,0,-3.7699999999999996,37
434,9986,1,-4.662,16
435,10030,3,-4.788,44
436,10082,2,2.803999999999996,52
437,10134,1,-0.8819999999999988,52
438,10149,0,-4.47,15
439,10217,0,-2.5800000000000005,68
440,10270,2,2.8799999999999955,53
441,10327,1,-0.4879999999999969,57
442,10341,3,-6.384,14
443,10358,1,-4.443999999999999,17
444,10378,0,-4.32,20
445,10427,4,7.77000000000001,49
446,10480,0,-2.7299999999999995,53
447,10519,1,-2.4680000000000013,39
448,10570,3,-4.186000000000002,51
449,10623,4,8.66000000000001,53
450,10698,2,5.767999999999999,75
451,10739,4,5.906000000000006,41
452,10772,2,0.20800000000000196,33
453,10788,0,-4.42,16
454,10834,2,1.8439999999999976,46
455,10883,2,2.455999999999997,49
456,10974,4,17.136000000000017,91
457,11017,3,-4.802,43
458,11032,4,0.11800000000000033,15
459,11078,1,-1.6500000000000012,46
460,11128,4,7.99400000000001,50
461,11173,2,1.831999999999998,45
462,11250,3,-2.6460000000000043,77
463,11325,3,-3.024000000000006,75
464,11385,0,-2.4200000000000013,60
465,11461,2,5.8759999999999994,76
466,11511,0,-3.0399999999999987,50
467,11565,1,-0.6619999999999981,54
468,11615,1,-1.2940000000000005,50
469,11666,3,-4.242000000000001,51
470,11717,3,-4.312000000000001,51
471,11748,1,-2.9520000000000004,31
472,11792,1,-1.9540000000000024,44
473,11842,0,-3.079999999999999,50
474,11882,3,-4.9559999999999995,40
475,11936,1,-0.7699999999999978,54
476,11982,2,1.8999999999999977,46
477,12067,4,15.66000000000001,85
478,12159,2,7.860000000000008,92
479,12235,1,1.3260000000000085,76
480,12278,4,6.264000000000008,43
481,12351,2,5.423999999999998,73
482,12422,0,-2.5900000000000003,71
483,12465,4,6.414000000000007,43
484,12537,2,5.251999999999997,72
485,12566,0,-3.9799999999999995,29
486,12650,1,1.8580000000000103,84
487,12759,0,4.959999999999994,109
488,12798,1,-2.552000000000001,39
489,12826,2,-0.5559999999999978,28
490,12867,3,-5.068,41
491,12911,2,1.5639999999999983,44
492,12994,1,1.892000000000011,83
493,13038,2,1.4679999999999982,44
494,13052,2,-2.3559999999999994,14
495,13092,3,-4.8999999999999995,40
496,13184,0,-1.5500000000000056,92
497,13213,3,-5.572,29
498,13260,1,-1.5760000000000005,47
499,13344,4,15.526000000000014,84
500,13372,3,-5.572,28
501,13428,0,-2.7500000000000004,56
502,13489,1,-0.4799999999999969,61
503,13571,0,-1.8400000000000039,82
504,13648,2,6.056000000000001,77
505,13725,0,-2.0300000000000034,77
506,13794,4,12.10000000000001,69
507,13818,0,-4.27,24
508,13861,0,-3.5199999999999996,43
509,13942,4,14.836000000000013,81
510,13988,2,1.7399999999999984,46
511,14027,2,0.7680000000000007,39
512,14114,2,7.200000000000006,87
513,14138,3,-5.978,24
514,14166,4,3.012000000000004,28
515,14208,4,6.136000000000006,42
516,14280,2,5.251999999999997,72
517,14364,1,1.9180000000000108,84
518,14566,3,66.962,202
519,14612,2,1.7799999999999985,46
520,14695,3,-2.8140000000000054,83
521,14777,2,6.588000000000003,82
522,14845,4,11.852000000000013,68
523,14933,1,2.4540000000000095,88
524,15014,4,14.836000000000016,81
525,15040,3,-5.838,26
526,15070,1,-3.1580000000000004,30
527,15218,1,7.829999999999977,148
528,15304,2,7.084000000000005,86
529,15428,0,-0.45000000000000995,124
530,15505,2,6.056000000000001,77
531,15574,3,-3.626000000000004,69
532,15590,2,-2.067999999999999,16
533,15664,1,0.9980000000000073,74
534,15727,0,-2.7600000000000002,63
535,15813,2,7.212000000000005,86
536,15827,2,-2.3879999999999995,14
537,15900,2,5.271999999999997,73
538,15988,4,16.30800000000001,88
539,16026,0,-3.8899999999999997,38
540,16118,2,7.964000000000009,92
541,16189,0,-2.64,71
542,16207,3,-6.118,18
543,16287,1,1.5740000000000096,80
544,16324,4,4.962000000000007,37
545,16394,1,0.6660000000000066,70
546,16440,4,6.960000000000006,46
547,16488,2,2.051999999999997,48
548,16626,2,13.580000000000034,138
549,16760,2,13.508000000000031,134
550,16842,1,1.7820000000000098,82
551,16887,3,-4.732,45
552,16931,2,1.5559999999999983,44
553,16971,0,-3.549999999999999,40
554,17051,0,-2.1000000000000028,80
555,17135,1,1.9180000000000108,84
556,17215,2,6.3160000000000025,80
557,17293,3,-3.1920000000000055,78
558,17339,1,-1.6860000000000017,46
559,17414,4,13.390000000000011,75
560,17496,0,-1.8000000000000038,82
561,17573,3,-2.7720000000000047,77
562,17658,1,2.0160000000000107,85
563,17732,2,5.531999999999998,74
564,17749,1,-4.504,17
565,17896,4,29.188000000000017,147
566,17979,0,-1.8400000000000039,83
567,18063,2,6.740000000000002,84
568,18080,3,-6.174,17
569,18166,3,-2.296000000000002,86
570,18246,3,-2.7160000000000037,80
571,18329,4,15.20600000000001,83
572,18373,2,1.4679999999999982,44
573,18418,1,-1.9040000000000017,45
574,18465,2,2.0079999999999973,47
575,18480,0,-4.6,15
576,18554,4,13.15400000000001,74
577,18578,0,-4.27,24
578,18595,2,-1.895999999999999,17
579,18664,2,4.799999999999994,69
580,18755,3,-2.0020000000000016,91
581,18791,3,-5.348,36
582,18857,3,-3.7100000000000035,66
583,18936,4,14.382000000000016,79
584,18967,4,3.696000000000005,31
585,19052,3,-2.3800000000000026,85
586,19150,4,18.72200000000002,98
587,19235,4,15.834000000000017,85
588,19341,4,20.262000000000018,106
589,19380,1,-2.660000000000001,39
590,19452,4,12.814000000000012,72
591,19532,2,6.380000000000003,80
592,19549,0,-4.37,17
593,19617,1,0.014000000000003787,68
594,19663,4,7.008000000000006,46
595,19755,1,2.882000000000007,92
596,19785,1,-3.5179999999999993,30
597,19870,2,6.9200000000000035,85
598,19955,2,7.0400000000000045,85
599,20048,1,2.6920000000000073,93
600,20131,1,1.7600000000000096,83
601,20211,1,1.3820000000000086,80
602,20290,3,-3.122000000000006,79
603,20333,2,1.3199999999999994,43
604,20415,1,1.7340000000000098,82
605,20479,3,-3.7240000000000038,64
606,20539,1,-0.5779999999999985,60
607,20612,3,-3.444000000000004,73
608,20689,3,-3.038000000000006,77
609,20764,2,5.584,75
610,20827,0,-2.7999999999999994,63
611,20843,4,0.3480000000000003,16
612,20878,1,-3.2920000000000003,35
613,20966,3,-2.282000000000001,88
614,21052,0,-1.7600000000000051,86
615,21161,4,20.73600000000001,109
616,21255,4,17.77800000000002,94
617,21328,4,12.900000000000011,73
618,21414,2,7.148000000000005,86
619,21490,3,-3.5140000000000047,76
620,21573,4,15.20000000000001,83
621,21649,0,-2.4700000000000015,76
622,21695,1,-1.6020000000000003,46
623,21768,2,5.135999999999996,73
624,21850,0,-2.090000000000004,82
625,21931,3,-2.9400000000000057,81
626,22022,4,17.016000000000016,91
627,22177,3,0.8820000000000165,155
628,22264,0,-1.9200000000000044,87
629,22356,4,17.39600000000002,92
630,22413,2,3.0639999999999947,57
631,22457,4,6.542000000000009,44
632,22485,1,-3.534,28
633,22568,4,15.104000000000006,83
634,22645,2,5.696,77
635,22727,4,14.970000000000013,82
636,22790,1,-0.3559999999999963,63
637,22868,1,1.0660000000000078,78
638,22950,3,-2.520000000000003,82
639,22952,1,-5.95,2
640,23061,4,21.210000000000022,109
641,23139,3,-3.136000000000005,78
642,23226,0,-1.7600000000000038,87
643,23267,4,5.852000000000007,41
644,23326,2,3.4079999999999933,59
645,23406,2,6.1480000000000015,80
646,23477,4,12.470000000000013,71
647,23556,1,1.3080000000000078,79
648,23648,2,7.828000000000008,92
649,23708,0,-3.0299999999999985,60
650,23787,4,14.208000000000013,79
651,23814,2,-0.687999999999998,27
652,23998,3,2.2960000000000154,184
653,24071,3,-3.486000000000004,73
654,24163,3,-2.1700000000000017,92
655,24242,3,-3.1360000000000054,79
656,24279,2,0.6480000000000006,37
657,24353,4,13.130000000000006,74
658,24415,0,-2.849999999999999,62
659,24593,4,36.353999999999964,178
660,24670,4,13.748000000000008,77
661,24757,0,-1.8100000000000036,87
662,24786,4,3.2420000000000035,29
663,24851,0,-2.6200000000000006,65
664,24885,1,-2.682000000000001,34
665,24971,3,-2.4220000000000033,86
666,25043,4,12.910000000000016,72
667,25095,3,-4.242000000000002,52
668,25204,2,10.088000000000017,109
669,25283,3,-2.912000000000006,79
670,25417,0,0.12999999999998746,134
671,25486,4,12.196000000000014,69
672,25575,3,-2.3100000000000023,89
673,25658,1,1.940000000000011,83
674,25723,2,4.271999999999993,65
675,25804,3,-2.8280000000000047,81
676,25886,3,-2.800000000000005,82
677,25966,1,1.322000000000008,80
678,26133,0,1.269999999999981,167
679,26147,1,-4.882,14
680,26234,3,-2.0580000000000007,87
681,26311,1,1.0040000000000067,77
682,26346,0,-3.519999999999999,35
683,26427,1,1.4440000000000088,81
684,26510,4,15.302000000000017,83
685,26571,0,-2.8499999999999996,61
686,26641,3,-4.032000000000004,70
687,26706,1,-0.027999999999996028,65
688,26790,0,-1.940000000000003,84
689,26871,3,-2.5340000000000034,81
690,26942,4,12.638000000000014,71
691,27037,1,3.308000000000005,95
692,27078,2,1.104,41
693,27152,1,0.7220000000000057,74
694,27229,0,-2.4200000000000013,77
695,27244,3,-6.4399999999999995,15
696,27330,4,15.968000000000014,86
697,27360,4,3.4900000000000047,30
698,27433,0,-2.490000000000001,73
699,27511,0,-2.260000000000003,78
700,27658,2,14.888000000000037,147
701,27744,1,2.1380000000000106,86
702,27856,3,-0.7699999999999951,112
703,27945,4,16.628000000000018,89
704,27989,4,6.470000000000006,44
705,28070,2,6.320000000000002,81
706,28138,1,0.494000000000006,68
707,28223,4,15.708000000000016,85
708,28316,3,-1.7499999999999991,93
709,28503,1,11.747999999999962,187
710,28590,0,-1.6700000000000048,87
711,28704,1,5.109999999999992,114
712,28788,4,15.460000000000015,84
713,28828,1,-2.4060000000000015,40
714,28929,1,3.584000000000003,101
715,29016,2,7.2640000000000065,87
716,29099,2,6.600000000000003,83
717,29200,0,-1.1400000000000068,101
718,29277,1,0.9080000000000075,77
719,29291,4,-0.13599999999999968,14
720,29371,0,-2.150000000000002,80
721,29462,1,2.4000000000000092,91
722,29528,3,-3.528000000000004,66
723,29628,0,-1.3900000000000068,100
724,29727,1,3.424000000000003,99
725,29839,2,10.34000000000002,112
726,29922,2,6.632000000000003,83
727,30005,2,6.608000000000002,83
728,30099,4,17.778000000000016,94
729,30186,3,-2.2820000000000027,87
730,30268,3,-2.800000000000005,82
731,30345,2,5.855999999999998,77
732,30432,1,2.044000000000011,87
733,30538,2,9.692000000000014,106
734,30641,1,3.7680000000000007,103
735,30723,2,6.492000000000003,82
736,30814,1,2.8680000000000074,91
737,30897,1,1.7600000000000096,83
738,30984,4,16.144000000000013,87
739,31029,0,-3.539999999999999,45
740,31069,4,5.652000000000006,40
741,31178,2,10.016000000000018,109
742,31254,2,5.563999999999998,76
743,31296,4,6.064000000000007,42
744,31311,1,-4.724,15
745,31383,1,0.502000000000006,72
746,31480,0,-1.340000000000007,97
747,31571,4,16.80000000000001,91
748,31657,1,2.126000000000012,86
749,31693,2,0.4040000000000017,36
750,31774,2,6.128,81
751,31859,1,2.0160000000000107,85
752,31948,1,2.5040000000000084,89
753,32005,4,9.274000000000004,57
754,32139,2,13.444000000000031,134
755,32328,3,2.646000000000015,189
756,32374,4,6.978000000000007,46
757,32474,1,3.0540000000000056,100
758,32551,0,-2.220000000000002,77
759,32644,0,-1.4600000000000057,93
760,32727,3,-2.730000000000005,83
761,32824,1,3.4440000000000026,97
762,32944,3,-0.27999999999999226,120
763,33025,3,-2.9960000000000058,81
764,33113,0,-1.6200000000000045,88
765,33199,2,6.996000000000004,86
766,33276,3,-3.318000000000006,77
767,33382,0,-0.7700000000000085,106
768,33474,0,-1.300000000000006,92
769,33559,4,15.684000000000015,85
770,33683,2,12.180000000000028,124
771,33793,4,21.34400000000002,110
772,33833,0,-3.619999999999999,40
773,34096,4,73.454,263
774,34200,2,9.644000000000016,104
775,34295,2,8.34400000000001,95
776,34388,1,2.2840000000000096,93
777,34489,2,8.896000000000013,101
778,34595,0,-1.0100000000000073,106
779,34678,3,-2.856000000000005,83
780,34886,0,3.27999999999998,208
781,34990,0,-0.8200000000000083,104
782,35015,3,-5.908,25
783,35118,2,9.216000000000015,103
784,35224,3,-1.0779999999999959,106
785,35342,4,23.13000000000002,118
786,35428,3,-2.408000000000002,86
787,35518,1,2.710000000000006,90
788,35604,3,-2.4780000000000033,86
789,35708,0,-1.020000000000008,104
790,35814,3,-1.3439999999999968,106
791,35893,2,6.08,79
792,36006,3,-1.035999999999997,113
793,36099,4,17.38000000000001,93
794,36238,0,0.15999999999998682,139
795,36349,0,-0.9100000000000081,111
796,36433,1,2.06200000000001,84
797,36550,4,22.87600000000002,117
798,36693,2,14.288000000000036,143
799,36796,3,-1.3439999999999976,103
800,36859,3,-3.920000000000003,63
801,36947,1,2.4540000000000095,88
802,37039,4,17.324000000000016,92
803,37126,1,2.092000000000011,87
804,37240,4,22.28200000000002,114
805,37332,4,17.150000000000013,92
806,37427,1,3.116000000000005,95
807,37527,0,-1.150000000000008,100
808,37529,0,-5.0,2
809,37569,3,-4.788,40
810,37665,0,-1.510000000000006,96
811,37759,4,17.97600000000002,94
812,37865,1,4.337999999999997,106
813,37971,3,-1.5819999999999999,106
814,38088,4,22.954000000000022,117
815,38184,4,18.070000000000014,96
816,38266,3,-2.9820000000000064,82
817,38370,4,20.03600000000002,104
818,38486,2,11.092000000000022,116
819,38571,3,-2.5340000000000034,85
820,38658,2,6.880000000000004,87
821,38832,3,1.8480000000000132,174
822,38946,2,10.756000000000022,114
823,39040,1,2.670000000000009,94
824,39136,1,3.238000000000003,96
825,39236,3,-1.7219999999999986,100
826,39342,0,-1.2000000000000082,106
827,39455,3,-0.7979999999999938,113
828,39547,0,-1.5500000000000056,92
