episode,time_alive,reward,loss,ewc_loss
1,28.256542921066284,4.5700226,0.013572975993156433,4.4950655137654394e-05
2,14.486055135726929,0.22000265,0.04435774311423302,4.339113365858793e-05
3,24.543530702590942,3.6500187,0.01093322690576315,4.1473711462458596e-05
4,14.61980938911438,0.22000313,0.01234219130128622,4.0387792978435755e-05
5,4.795535326004028,-3.3400006,0.014553417451679707,4.0087612433126196e-05
6,25.027289628982544,4.1100216,0.04921525716781616,3.861332152155228e-05
7,19.214734315872192,1.8200107,0.022084057331085205,3.758756793104112e-05
8,28.90579104423523,5.310028,0.03415684029459953,3.6161898606223986e-05
9,24.810314416885376,4.000021,0.008086205460131168,3.514401396387257e-05
10,13.553633451461792,-0.3399992,0.026113338768482208,3.457118509686552e-05
11,24.610045671463013,4.0100203,0.05767892301082611,3.360910341143608e-05
12,14.03731107711792,0.15000248,0.02848096564412117,3.3094427635660395e-05
13,74.2800669670105,227.68054,0.06935054063796997,3.090167956543155e-05
14,14.802911043167114,-0.01999855,0.030690733343362808,3.046188794542104e-05
15,24.693993091583252,4.160021,0.0823877826333046,2.97389105980983e-05
16,24.759917736053467,4.2400217,0.024903759360313416,2.908946953539271e-05
17,10.573246479034424,-1.5500021,0.11603899300098419,2.8848109650425613e-05
18,54.58267593383789,14.710007,0.028615305200219154,2.7691770810633898e-05
19,14.21858024597168,0.20000267,0.03639669716358185,2.7297506676404737e-05
20,25.39346218109131,4.220022,0.07555927336215973,2.6801844796864316e-05
21,47.072643518447876,11.070055,0.027239352464675903,2.587561721156817e-05
22,14.60300064086914,0.22000313,0.021006280556321144,2.560407119744923e-05
23,39.79644513130188,9.540048,0.10844147205352783,2.4838456738507375e-05
24,14.302425622940063,-0.07999802,0.06629008054733276,2.4553710318286903e-05
25,24.909712314605713,4.4800224,0.027285132557153702,2.41296202148078e-05
26,6.560952425003052,-2.9000008,0.055663686245679855,2.404322731308639e-05
27,49.50446105003357,13.240025,0.022411884739995003,2.322592627024278e-05
28,24.592479944229126,3.9100208,0.01739249937236309,2.2885573343955912e-05
29,23.577810525894165,3.6400194,0.028728632256388664,2.2516329408972524e-05
30,15.935240745544434,0.930006,0.0382908433675766,2.2330212232191116e-05
31,14.836277961730957,0.4100032,0.047944575548172,2.2092752260505222e-05
32,8.691633224487305,-1.9900017,0.03293207287788391,2.192169449699577e-05
33,25.009751319885254,3.9800205,0.021123219281435013,2.1554627892328426e-05
34,25.659258127212524,3.8100204,0.031122783198952675,2.121739998983685e-05
35,17.45091700553894,1.2300076,0.0571359358727932,2.0989444237784483e-05
36,24.544085264205933,4.050021,0.039700575172901154,2.0632192899938673e-05
37,14.335211038589478,0.11000204,0.03186827152967453,2.0436878912732936e-05
38,24.693801164627075,4.1500206,0.03868067264556885,2.0113648133701645e-05
39,14.203230381011963,0.20000267,0.1376115381717682,1.9913073629140854e-05
40,14.336548328399658,0.11000252,0.011500312015414238,1.9702347344718874e-05
41,25.15997314453125,4.170021,0.01690186746418476,1.942196649906691e-05
42,14.452631950378418,0.17000246,0.1266491860151291,1.9220136891817674e-05
43,24.993478059768677,4.160021,0.02468806877732277,1.8909389837062918e-05
44,16.717807054519653,0.9000063,0.04472498595714569,1.8687047486309893e-05
45,14.220319986343384,0.2000022,0.05519312620162964,1.8543189071351662e-05
46,25.54263710975647,4.050021,0.04190279170870781,1.8251688743475825e-05
47,22.178916692733765,3.2500162,0.030831575393676758,1.8062235540128313e-05
48,3.4796736240386963,-4.04,0.06376145780086517,1.8026204998022877e-05
49,24.527608633041382,3.8200197,0.021575557067990303,1.7767908502719365e-05
50,24.76005482673645,4.0600214,0.06366731971502304,1.7493746781838126e-05
51,17.73340392112732,1.2800078,0.04494868963956833,1.7351849237456918e-05
52,25.39289116859436,4.260022,0.017688686028122902,1.7111457054852508e-05
53,11.938647747039795,-1.5300021,0.04609621688723564,1.7022708561853506e-05
54,22.262060165405273,3.0200157,0.019967781379818916,1.6808658983791247e-05
55,24.54479432106018,3.7300196,0.022222591564059258,1.6561703887418844e-05
56,3.2968170642852783,-4.0,0.02721552923321724,1.6542278899578378e-05
57,14.517986059188843,0.2600031,0.04252594709396362,1.639805850572884e-05
58,13.73826003074646,-0.3800001,0.040790315717458725,1.627632627787534e-05
59,14.419333219528198,-0.01999855,0.021520502865314484,1.6162035535671748e-05
60,25.159868240356445,4.630023,0.057388678193092346,1.5966232240316458e-05
