episode,time_alive,reward,loss,ewc_loss,time_smooth,reward_smooth,loss_smooth,ewc_smooth
1,2.52164626121521,-4.64,0.0,0.0,2.52164626121521,-4.639999866485596,0.0,0.0
2,2.7153189182281494,-4.63,0.0,0.0,2.6184825897216797,-4.634999990463257,0.0,0.0
3,2.129871368408203,-4.71,0.0,0.0,2.4556121826171875,-4.660000006357829,0.0,0.0
4,3.097846508026123,-4.33,0.0,0.0,2.6161707639694214,-4.577499985694885,0.0,0.0
5,2.1642794609069824,-4.65,0.0,0.0,2.5257925033569335,-4.5920000076293945,0.0,0.0
6,4.432849407196045,-4.6,0.0,0.0,2.843635320663452,-4.59333332379659,0.0,0.0
7,2.110914468765259,-4.8,0.0,0.0,2.7389609132494246,-4.62285716193063,0.0,0.0
8,2.1812729835510254,-4.42,0.0,0.0,2.6692499220371246,-4.597500026226044,0.0,0.0
9,2.4316582679748535,-4.74,0.0,0.0,2.6428508493635388,-4.613333331214057,0.0,0.0
10,2.92335844039917,-4.62,0.0,0.0,2.6709016084671022,-4.61399998664856,0.0,0.0
11,2.1051063537597656,-4.66,0.0,0.0,2.6194656762209805,-4.618181792172519,0.0,0.0
12,4.528681516647339,-4.62,0.0,0.0,2.7785669962565103,-4.618333299954732,0.0,0.0
13,2.0979862213134766,-4.65,0.0,0.0,2.7262146289532003,-4.62076920729417,0.0,0.0
14,1.6315503120422363,-4.66,0.0,0.0,2.648024320602417,-4.623571395874023,0.0,0.0
15,2.8143887519836426,-4.5,0.0,0.0,2.659115282694499,-4.615333302815755,0.0,0.0
16,2.2305519580841064,-4.84,0.0,0.0,2.632330074906349,-4.629374980926514,0.0,0.0
17,2.115968942642212,-4.7,0.0,0.0,2.6019558906555176,-4.633529382593491,0.0,0.0
18,1.1314802169799805,-5.0,0.0,0.0,2.5202627976735434,-4.653888861338298,0.0,0.0
19,3.229719877243042,-4.31,0.0,0.0,2.557602643966675,-4.635789444572048,0.0,0.0
20,2.2484586238861084,-4.56,0.0,0.0,2.5421454429626467,-4.631999969482422,0.0,0.0
21,3.396268844604492,-4.5,0.0,0.0,2.5828179858979725,-4.625714256649926,0.0,0.0
22,4.19650411605835,-4.5099998,0.0,0.0,2.656167355450717,-4.620454506440596,0.0,0.0
23,4.528831481933594,-4.56,0.0,0.0,2.737587534863016,-4.617826047150985,0.0,0.0
24,2.1152334213256836,-4.79,0.0,0.0,2.711656113465627,-4.62499996026357,0.0,0.0
25,2.813300848007202,-4.39,0.0,0.0,2.71572190284729,-4.615599956512451,0.0,0.0
26,1.9985613822937012,-4.84,0.0,0.0,2.688138805902921,-4.624230733284583,0.0,0.0
27,1.1322219371795654,-4.95,0.0,0.0,2.6305122552094637,-4.636296254617196,0.0,0.0
28,2.364478349685669,-4.83,0.0,0.0,2.6210110442978993,-4.643214242798941,0.0,0.0
29,1.1322569847106934,-5.0,0.0,0.0,2.569674697415582,-4.655517199943805,0.0,0.0
30,1.5648033618927002,-4.78,0.0,0.0,2.536178986231486,-4.659666633605957,0.0,0.0
31,2.0652647018432617,-4.75,0.0,0.0,2.5209662675857545,-4.663333304723104,0.0,0.0
32,3.646806478500366,-4.63,0.0,0.0,2.552015852928162,-4.663333304723104,0.0,0.0
33,3.4461488723754883,-4.49,0.0,0.0,2.595891769727071,-4.65599996248881,0.0,0.0
34,4.412952899932861,-4.45,0.0,0.0,2.639728649457296,-4.6599999586741125,0.0,0.0
35,2.080833911895752,-4.6,0.0,0.0,2.6369471311569215,-4.658333285649618,0.0,0.0
36,2.647782802581787,-4.73,0.0,0.0,2.577444911003113,-4.662666622797648,0.0,0.0
37,1.132882833480835,-5.0,0.0,0.0,2.544843856493632,-4.669333283106486,0.0,0.0
38,2.381174325942993,-4.68,0.0,0.0,2.5515072345733643,-4.677999941507975,0.0,0.0
39,5.593867540359497,-3.6100001,0.0,0.0,2.656914210319519,-4.640333286921183,0.0,0.0
40,2.281712532043457,-4.61,0.0,0.0,2.635526013374329,-4.639999961853027,0.0,0.0
41,2.080648422241211,-4.8,0.0,0.0,2.634710748990377,-4.644666639963786,0.0,0.0
